station,year,variable,filas_originales,fechas_invalidas,duplicados,outliers_iqr_bajo,outliers_iqr_alto,outliers_fisicos_bajo,outliers_fisicos_alto,limite_fisico_min,limite_fisico_max,umbral_iqr_lower,umbral_iqr_upper,nota_iqr,nulos_antes,nulos_despues,filas_finales,missing_pct_clean,path_parquet_clean
25074,1969,precip,365,0,0,0,80,0,0,0.0,500.0,0.0,0.0,"IQR=0, cualquier valor positivo es outlier estadistico pero no error",0,0,365,0.0,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/cleaned/organized/estado=sin/estacion=25074/year=1969/precip.parquet
25074,1969,evap,365,0,0,0,0,0,0,0.0,60.0,0.0,12.18,870 outliers altos en EDA (0.88%) — dias de alta evaporacion,365,365,365,100.0,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/cleaned/organized/estado=sin/estacion=25074/year=1969/evap.parquet
25074,1969,tmax,365,0,0,34,0,0,0,-5.0,55.0,20.25,45.45,"22,969 outliers en EDA: 963 altos >45.45C, 22,006 bajos <20.25C — posibles registros de sierra",12,12,365,3.288,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/cleaned/organized/estado=sin/estacion=25074/year=1969/tmax.parquet
25074,1969,tmin,365,0,0,0,0,0,0,-15.0,45.0,-3.75,38.25,"517 outliers bajos en EDA (0.03%) — valores hasta -10C, posibles registros de sierra",12,12,365,3.288,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/cleaned/organized/estado=sin/estacion=25074/year=1969/tmin.parquet
25074,1970,precip,365,0,0,0,87,0,0,0.0,500.0,0.0,0.0,"IQR=0, cualquier valor positivo es outlier estadistico pero no error",0,0,365,0.0,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/cleaned/organized/estado=sin/estacion=25074/year=1970/precip.parquet
25074,1970,evap,365,0,0,0,0,0,0,0.0,60.0,0.0,12.18,870 outliers altos en EDA (0.88%) — dias de alta evaporacion,365,365,365,100.0,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/cleaned/organized/estado=sin/estacion=25074/year=1970/evap.parquet
25074,1970,tmax,365,0,0,49,0,0,0,-5.0,55.0,20.25,45.45,"22,969 outliers en EDA: 963 altos >45.45C, 22,006 bajos <20.25C — posibles registros de sierra",0,0,365,0.0,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/cleaned/organized/estado=sin/estacion=25074/year=1970/tmax.parquet
25074,1970,tmin,365,0,0,0,0,0,0,-15.0,45.0,-3.75,38.25,"517 outliers bajos en EDA (0.03%) — valores hasta -10C, posibles registros de sierra",0,0,365,0.0,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/cleaned/organized/estado=sin/estacion=25074/year=1970/tmin.parquet
25074,1971,precip,365,0,0,0,103,0,0,0.0,500.0,0.0,0.0,"IQR=0, cualquier valor positivo es outlier estadistico pero no error",0,0,365,0.0,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/cleaned/organized/estado=sin/estacion=25074/year=1971/precip.parquet
25074,1971,evap,365,0,0,0,0,0,0,0.0,60.0,0.0,12.18,870 outliers altos en EDA (0.88%) — dias de alta evaporacion,365,365,365,100.0,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/cleaned/organized/estado=sin/estacion=25074/year=1971/evap.parquet
