estacion,precip,evap,tmax,tmin
25001,40,823,9,9
25002,6,4875,4844,4844
25003,5,2337,40,40
25004,3,224,9,9
25005,61,941,2,2
25006,249,18570,2127,2127
25007,100,1879,1649,1649
25008,42,466,297,297
25009,54,2982,69,69
25010,0,4,0,0
25011,37,14,95,95
25012,98,10792,100,100
25013,32,131,2,2
25014,1522,13194,465,465
25015,37,1344,97,97
25016,15,2815,516,516
25017,80,3916,74,74
25018,42,9955,2232,2232
25019,40,2927,102,102
25020,1,71,7,7
25021,280,19176,20,20
25022,20,2957,12,12
25023,41,8407,70,70
25024,37,8919,8888,8888
25025,94,2609,5,5
25027,73,232,107,107
25028,39,9,93,93
25029,36,5,1,1
25030,136,16839,536,536
25031,36,65,33,33
25032,87,3176,855,855
25033,80,498,45,45
25035,0,2,0,0
25036,10,14739,48,48
25037,44,444,46,46
25038,218,13513,191,191
25039,16,1728,748,748
25040,0,2,2,2
25041,96,15436,377,377
25042,68,4747,9,9
25043,92,8217,8279,8279
25044,84,4206,32,32
25045,32,2691,263,263
25046,282,1312,505,505
25047,62,5928,1,1
25048,0,120,828,828
25049,33,3582,3,3
25050,51,4288,23,23
25052,47,6239,5881,5881
25053,23,426,837,837
25054,123,6956,7155,7155
25055,115,40,19,19
25056,124,390,81,81
25057,0,4,0,0
25058,41,140,45,45
25059,0,3,121,121
25060,62,23,0,0
25061,2,14,192,192
25062,1565,14067,2055,2055
25063,34,4869,2,2
25064,41,18936,45,45
25065,70,3033,1939,1939
25066,95,6193,6685,6685
25068,3,12,5,5
25069,102,1171,193,193
25070,2,6975,123,123
25071,152,2086,45,45
25072,5,1,4,4
25073,33,8069,12,12
25074,71,19051,30,30
25075,4,2365,378,378
25076,155,9761,41,41
25077,76,10364,68,68
25078,44,2646,153,153
25079,3,81,7,7
25080,36,6761,925,925
25081,171,865,3439,3439
25082,1,111,32,32
25083,1,439,13,13
25084,1,3722,5,5
25085,40,7948,7952,7952
25086,65,31,4,4
25087,49,2995,59,59
25088,97,97,2,2
25089,0,216,3,3
25090,108,4751,392,392
25091,72,115,223,223
25092,41,8763,8730,8730
25093,47,3002,50,50
25094,98,5558,56,56
25095,2,0,289,289
25097,9,6,3,3
25098,143,821,296,296
25099,31,28,27,27
25100,141,10749,7054,7054
25101,32,8174,8174,8174
25102,0,57,0,0
25103,6,964,6,6
25105,1,964,2,2
25106,6,7639,11,11
25107,3,7294,90,90
25110,77,11996,432,432
25111,9,1292,25,25
25112,1,3,3,3
25113,0,2,8,8
25114,0,2,0,0
25115,49,532,43,43
25116,0,4944,40,40
25117,312,11922,5894,5894
25118,6,32,2,2
25119,3,11607,36,36
25121,2,9092,125,125
25122,31,1,1,1
25123,10,1307,10,10
25124,29,1782,30,30
25125,27,1409,93,93
25128,0,1793,0,0
25129,34,662,41,41
25130,0,584,0,0
25131,8,927,56,56
25132,9,1418,2,2
25133,11,1567,73,73
25134,28,1214,88,88
25135,173,2781,207,207
25137,0,857,30,30
25138,0,675,2,2
25139,0,698,20,20
25142,6,1429,19,19
25143,15,1764,394,394
25144,19,1502,91,91
25148,62,2412,2,2
25149,0,548,366,366
25150,259,12010,1635,1635
25151,2,1035,0,0
25153,36,2233,84,84
25155,125,6516,667,667
25158,24,10487,353,353
25159,0,870,154,154
25160,32,3,1,1
25161,44,2509,118,118
25162,0,33,92,92
25163,41,123,137,137
25164,6,627,17,17
25165,35,1343,1,1
25166,1,773,133,133
25167,33,2630,35,35
25168,1,365,365,365
25169,1,668,1,1
25170,0,581,0,0
25171,49,2568,145,145
25172,57,15794,250,250
25173,35,3738,81,81
25174,0,55,30,30
25175,1,95,2,2
25176,2,10802,93,93
25177,35,3020,6,6
25178,4,9353,21,21
25179,33,1,0,0
25180,6,3815,1538,1538
25181,32,6548,250,250
25183,46,610,14,14
25184,33,2,2,2
25185,0,0,0,0
25186,7,12423,26,26
25188,3,1126,4,4
25190,0,1,0,0
25191,0,0,0,0
25192,43,337,6,6
25193,1,2161,1,1
25194,3,2519,5,5
25197,0,1983,0,0
25198,1,1277,3,3
25199,31,1323,66,66
