modelo,variable,lag,acf_orig,acf_imp,pacf_orig,pacf_imp
Autoencoder,precip,0,1.0,1.0,1.0,1.0
Autoencoder,precip,1,0.1011,0.8299,0.1011,0.8302
Autoencoder,precip,2,0.2046,0.6268,0.1966,-0.1996
Autoencoder,precip,3,0.0488,0.5236,0.013,0.2185
Autoencoder,precip,4,0.0748,0.5046,0.0312,0.1432
Autoencoder,precip,5,0.0463,0.5204,0.0273,0.1317
Autoencoder,precip,6,0.0864,0.5311,0.063,0.09
Autoencoder,precip,7,0.0893,0.5333,0.0657,0.1036
Autoencoder,precip,8,0.105,0.5347,0.0662,0.0965
Autoencoder,precip,9,0.1191,0.5346,0.0777,0.0761
Autoencoder,precip,10,0.1134,0.5303,0.0644,0.0639
Autoencoder,precip,11,0.0674,0.5301,0.0102,0.0844
Autoencoder,precip,12,0.0879,0.5304,0.0389,0.0565
Autoencoder,precip,13,0.0963,0.5293,0.0598,0.0583
Autoencoder,precip,14,0.0643,0.5226,0.0119,0.0357
Autoencoder,precip,15,0.0938,0.5229,0.0407,0.0753
Autoencoder,precip,16,0.1251,0.5476,0.0808,0.1271
Autoencoder,precip,17,0.133,0.6075,0.075,0.2074
Autoencoder,precip,18,0.2667,0.66,0.2111,0.1387
Autoencoder,precip,19,0.2228,0.6745,0.1587,0.1198
Autoencoder,precip,20,0.2802,0.645,0.1994,0.0552
Autoencoder,evap,0,1.0,1.0,1.0,1.0
Autoencoder,evap,1,0.5954,0.9715,0.5956,0.9718
Autoencoder,evap,2,0.5388,0.9316,0.2858,-0.2188
Autoencoder,evap,3,0.5431,0.9014,0.2432,0.2034
Autoencoder,evap,4,0.5368,0.8845,0.181,0.1508
Autoencoder,evap,5,0.5206,0.8754,0.1269,0.0899
Autoencoder,evap,6,0.5137,0.8679,0.1079,0.0515
Autoencoder,evap,7,0.5042,0.8604,0.0832,0.0623
Autoencoder,evap,8,0.499,0.8545,0.0751,0.083
Autoencoder,evap,9,0.5056,0.8526,0.088,0.1002
Autoencoder,evap,10,0.5247,0.8527,0.1161,0.061
Autoencoder,evap,11,0.5067,0.8523,0.059,0.0472
Autoencoder,evap,12,0.4955,0.851,0.0439,0.0569
Autoencoder,evap,13,0.4989,0.8513,0.0531,0.0907
Autoencoder,evap,14,0.5139,0.8537,0.0797,0.0755
Autoencoder,evap,15,0.5307,0.8591,0.1018,0.1098
Autoencoder,evap,16,0.5628,0.8656,0.149,0.0839
Autoencoder,evap,17,0.5861,0.8711,0.1652,0.0798
Autoencoder,evap,18,0.575,0.8757,0.1155,0.0873
Autoencoder,evap,19,0.5922,0.8773,0.1475,0.0292
Autoencoder,evap,20,0.5802,0.876,0.1007,0.0389
Autoencoder,tmax,0,1.0,1.0,1.0,1.0
Autoencoder,tmax,1,0.648,0.9141,0.6482,0.9144
Autoencoder,tmax,2,0.4981,0.7898,0.1351,-0.2791
Autoencoder,tmax,3,0.4348,0.692,0.1199,0.1555
Autoencoder,tmax,4,0.4116,0.635,0.1133,0.1205
Autoencoder,tmax,5,0.4069,0.6061,0.1087,0.076
Autoencoder,tmax,6,0.389,0.5921,0.065,0.0774
Autoencoder,tmax,7,0.3879,0.583,0.0859,0.0587
Autoencoder,tmax,8,0.385,0.5769,0.0697,0.0706
Autoencoder,tmax,9,0.3772,0.5664,0.0546,0.0141
Autoencoder,tmax,10,0.3709,0.5586,0.0517,0.0795
Autoencoder,tmax,11,0.3526,0.5562,0.0235,0.0592
Autoencoder,tmax,12,0.3603,0.5592,0.0652,0.0635
Autoencoder,tmax,13,0.3694,0.57,0.0605,0.095
Autoencoder,tmax,14,0.3923,0.5923,0.0887,0.126
Autoencoder,tmax,15,0.4253,0.6293,0.1116,0.1669
Autoencoder,tmax,16,0.4583,0.6762,0.1233,0.1679
Autoencoder,tmax,17,0.5137,0.7233,0.1804,0.1698
Autoencoder,tmax,18,0.5548,0.7544,0.1797,0.107
Autoencoder,tmax,19,0.5754,0.7612,0.1746,0.0788
Autoencoder,tmax,20,0.534,0.7386,0.0727,-0.0057
Autoencoder,tmin,0,1.0,1.0,1.0,1.0
Autoencoder,tmin,1,0.9424,0.9858,0.9427,0.9862
Autoencoder,tmin,2,0.9037,0.9649,0.1402,-0.2542
Autoencoder,tmin,3,0.8785,0.9456,0.1312,0.1174
Autoencoder,tmin,4,0.8657,0.9313,0.1488,0.1375
Autoencoder,tmin,5,0.8586,0.9216,0.1203,0.0896
Autoencoder,tmin,6,0.8519,0.916,0.0813,0.1141
Autoencoder,tmin,7,0.8485,0.9128,0.0988,0.0779
Autoencoder,tmin,8,0.847,0.9112,0.0902,0.0834
Autoencoder,tmin,9,0.8477,0.9098,0.0956,0.05
Autoencoder,tmin,10,0.8495,0.908,0.0908,0.0471
Autoencoder,tmin,11,0.8429,0.9059,-0.0017,0.046
Autoencoder,tmin,12,0.8391,0.904,0.0587,0.0618
Autoencoder,tmin,13,0.8407,0.9038,0.0921,0.1069
Autoencoder,tmin,14,0.8441,0.906,0.0784,0.1045
Autoencoder,tmin,15,0.8486,0.9107,0.0843,0.1342
Autoencoder,tmin,16,0.8589,0.9181,0.1486,0.1602
Autoencoder,tmin,17,0.8747,0.9269,0.1863,0.1499
Autoencoder,tmin,18,0.8859,0.9343,0.1333,0.0795
Autoencoder,tmin,19,0.892,0.9377,0.1209,0.0252
Autoencoder,tmin,20,0.8903,0.9364,0.0731,0.0109
