modelo,variable,lag,acf_orig,acf_imp,pacf_orig,pacf_imp
BiGRU,precip,0,1.0,1.0,1.0,1.0
BiGRU,precip,1,0.1011,0.8259,0.1011,0.8262
BiGRU,precip,2,0.2046,0.7066,0.1966,0.0771
BiGRU,precip,3,0.0488,0.6497,0.013,0.1504
BiGRU,precip,4,0.0748,0.6289,0.0312,0.1419
BiGRU,precip,5,0.0463,0.6167,0.0273,0.1027
BiGRU,precip,6,0.0864,0.6065,0.063,0.0878
BiGRU,precip,7,0.0893,0.6056,0.0657,0.104
BiGRU,precip,8,0.105,0.6115,0.0662,0.1029
BiGRU,precip,9,0.1191,0.6064,0.0777,0.0535
BiGRU,precip,10,0.1134,0.5985,0.0644,0.0569
BiGRU,precip,11,0.0674,0.5921,0.0102,0.0531
BiGRU,precip,12,0.0879,0.5935,0.0389,0.0689
BiGRU,precip,13,0.0963,0.5937,0.0598,0.0518
BiGRU,precip,14,0.0643,0.5955,0.0119,0.0605
BiGRU,precip,15,0.0938,0.5937,0.0407,0.0419
BiGRU,precip,16,0.1251,0.6077,0.0808,0.1001
BiGRU,precip,17,0.133,0.6441,0.075,0.1599
BiGRU,precip,18,0.2667,0.6878,0.2111,0.1792
BiGRU,precip,19,0.2228,0.713,0.1587,0.1419
BiGRU,precip,20,0.2802,0.7065,0.1994,0.073
BiGRU,evap,0,1.0,1.0,1.0,1.0
BiGRU,evap,1,0.5954,0.9428,0.5956,0.9431
BiGRU,evap,2,0.5388,0.8921,0.2858,0.0289
BiGRU,evap,3,0.5431,0.8606,0.2432,0.1511
BiGRU,evap,4,0.5368,0.8451,0.181,0.1503
BiGRU,evap,5,0.5206,0.8331,0.1269,0.0779
BiGRU,evap,6,0.5137,0.823,0.1079,0.0777
BiGRU,evap,7,0.5042,0.8169,0.0832,0.0913
BiGRU,evap,8,0.499,0.815,0.0751,0.0929
BiGRU,evap,9,0.5056,0.8134,0.088,0.0666
BiGRU,evap,10,0.5247,0.8134,0.1161,0.0829
BiGRU,evap,11,0.5067,0.8094,0.059,0.027
BiGRU,evap,12,0.4955,0.8087,0.0439,0.0816
BiGRU,evap,13,0.4989,0.8121,0.0531,0.0892
BiGRU,evap,14,0.5139,0.8195,0.0797,0.1049
BiGRU,evap,15,0.5307,0.83,0.1018,0.1218
BiGRU,evap,16,0.5628,0.8429,0.149,0.1383
BiGRU,evap,17,0.5861,0.8524,0.1652,0.0991
BiGRU,evap,18,0.575,0.8578,0.1155,0.0905
BiGRU,evap,19,0.5922,0.8611,0.1475,0.0986
BiGRU,evap,20,0.5802,0.8588,0.1007,0.0433
BiGRU,tmax,0,1.0,1.0,1.0,1.0
BiGRU,tmax,1,0.648,0.658,0.6482,0.6582
BiGRU,tmax,2,0.4981,0.6851,0.1351,0.4451
BiGRU,tmax,3,0.4348,0.6071,0.1199,0.1415
BiGRU,tmax,4,0.4116,0.5478,0.1133,0.0044
BiGRU,tmax,5,0.4069,0.5347,0.1087,0.0743
BiGRU,tmax,6,0.389,0.5165,0.065,0.097
BiGRU,tmax,7,0.3879,0.5009,0.0859,0.0648
BiGRU,tmax,8,0.385,0.4916,0.0697,0.049
BiGRU,tmax,9,0.3772,0.4906,0.0546,0.0677
BiGRU,tmax,10,0.3709,0.4922,0.0517,0.0775
BiGRU,tmax,11,0.3526,0.4731,0.0235,0.0187
BiGRU,tmax,12,0.3603,0.4835,0.0652,0.0547
BiGRU,tmax,13,0.3694,0.4957,0.0605,0.0983
BiGRU,tmax,14,0.3923,0.5038,0.0887,0.0869
BiGRU,tmax,15,0.4253,0.5428,0.1116,0.1341
BiGRU,tmax,16,0.4583,0.5744,0.1233,0.1573
BiGRU,tmax,17,0.5137,0.6251,0.1804,0.2051
BiGRU,tmax,18,0.5548,0.6252,0.1797,0.1133
BiGRU,tmax,19,0.5754,0.652,0.1746,0.1301
BiGRU,tmax,20,0.534,0.6226,0.0727,0.0557
BiGRU,tmin,0,1.0,1.0,1.0,1.0
BiGRU,tmin,1,0.9424,0.9626,0.9427,0.963
BiGRU,tmin,2,0.9037,0.9559,0.1402,0.4025
BiGRU,tmin,3,0.8785,0.9323,0.1312,-0.0767
BiGRU,tmin,4,0.8657,0.9191,0.1488,0.0193
BiGRU,tmin,5,0.8586,0.9098,0.1203,0.1516
BiGRU,tmin,6,0.8519,0.9041,0.0813,0.126
BiGRU,tmin,7,0.8485,0.9002,0.0988,0.0703
BiGRU,tmin,8,0.847,0.8975,0.0902,0.0618
BiGRU,tmin,9,0.8477,0.8947,0.0956,0.0568
BiGRU,tmin,10,0.8495,0.8947,0.0908,0.0966
BiGRU,tmin,11,0.8429,0.8907,-0.0017,0.0175
BiGRU,tmin,12,0.8391,0.8903,0.0587,0.0518
BiGRU,tmin,13,0.8407,0.8892,0.0921,0.077
BiGRU,tmin,14,0.8441,0.8922,0.0784,0.1145
BiGRU,tmin,15,0.8486,0.8971,0.0843,0.131
BiGRU,tmin,16,0.8589,0.9033,0.1486,0.1145
BiGRU,tmin,17,0.8747,0.9119,0.1863,0.1487
BiGRU,tmin,18,0.8859,0.919,0.1333,0.1355
BiGRU,tmin,19,0.892,0.9226,0.1209,0.0645
BiGRU,tmin,20,0.8903,0.9234,0.0731,0.0376
