modelo,variable,lag,acf_orig,acf_imp,pacf_orig,pacf_imp
SARIMA,precip,0,1.0,1.0,1.0,1.0
SARIMA,precip,1,0.1593,0.133,0.16,0.1336
SARIMA,precip,2,0.155,0.1868,0.1342,0.1738
SARIMA,precip,3,-0.0445,-0.0278,-0.0923,-0.0758
SARIMA,precip,4,-0.0289,-0.0236,-0.0325,-0.0473
SARIMA,precip,5,-0.0335,-0.0511,-0.0044,-0.0259
SARIMA,precip,6,-0.0123,0.0036,-0.0014,0.0259
SARIMA,precip,7,-0.0105,-0.0069,-0.0073,0.0015
SARIMA,precip,8,-0.0287,-0.0412,-0.0307,-0.0562
SARIMA,precip,9,-0.0116,-0.0205,-0.0031,-0.0119
SARIMA,precip,10,0.0665,0.0873,0.0842,0.1204
SARIMA,precip,11,0.0349,0.0438,0.0134,0.0275
SARIMA,precip,12,0.1403,-0.0133,0.1207,-0.0748
SARIMA,precip,13,-0.0017,0.0116,-0.0436,0.0108
SARIMA,precip,14,-0.0047,-0.0086,-0.0354,0.0196
SARIMA,precip,15,-0.0368,-0.0285,-0.006,-0.027
SARIMA,precip,16,-0.0396,-0.0384,-0.0262,-0.0471
SARIMA,precip,17,-0.0247,-0.0011,-0.0089,0.0121
SARIMA,precip,18,0.0684,0.101,0.0966,0.1506
SARIMA,precip,19,0.1952,0.0691,0.2087,0.0544
SARIMA,precip,20,0.1473,0.2185,0.0914,0.1686
SARIMA,evap,0,1.0,1.0,1.0,1.0
SARIMA,evap,1,0.4145,0.1691,0.4209,0.1717
SARIMA,evap,2,0.254,0.171,0.1032,0.1514
SARIMA,evap,3,0.0995,-0.0177,-0.0467,-0.0741
SARIMA,evap,4,0.0203,-0.2043,-0.0372,-0.2446
SARIMA,evap,5,0.0342,-0.1787,0.0492,-0.1256
SARIMA,evap,6,-0.0361,-0.0507,-0.0726,0.0796
SARIMA,evap,7,-0.0113,-0.1011,0.0178,-0.071
SARIMA,evap,8,-0.0778,0.0481,-0.0882,0.0193
SARIMA,evap,9,0.019,-0.0736,0.1097,-0.1523
SARIMA,evap,10,-0.0217,-0.137,-0.0569,-0.2032
SARIMA,evap,11,-0.0239,-0.0991,-0.0208,-0.0849
SARIMA,evap,12,-0.0266,0.0721,-0.0203,0.2141
SARIMA,evap,13,-0.0271,0.0862,0.0118,0.1223
SARIMA,evap,14,0.1425,-0.0155,0.2328,-0.2931
SARIMA,evap,15,-0.034,0.0523,-0.239,-0.1059
SARIMA,evap,16,-0.1318,-0.1057,-0.2275,-0.1113
SARIMA,evap,17,0.0381,-0.1394,0.3714,-0.085
SARIMA,evap,18,0.0854,-0.2322,0.1332,-0.3377
SARIMA,evap,19,0.2329,-0.1252,0.202,-0.1861
SARIMA,evap,20,0.0526,0.1008,-0.3635,0.2428
SARIMA,tmax,0,1.0,1.0,1.0,1.0
SARIMA,tmax,1,0.8878,0.644,0.8919,0.647
SARIMA,tmax,2,0.783,0.654,-0.0254,0.4153
SARIMA,tmax,3,0.6951,0.5788,0.0232,0.1423
SARIMA,tmax,4,0.6198,0.5182,0.0124,0.0211
SARIMA,tmax,5,0.5696,0.4576,0.0852,-0.0198
SARIMA,tmax,6,0.5192,0.4294,-0.0218,0.0342
SARIMA,tmax,7,0.4825,0.3992,0.0547,0.0475
SARIMA,tmax,8,0.4717,0.371,0.1223,0.0278
SARIMA,tmax,9,0.4536,0.3607,-0.0156,0.0453
SARIMA,tmax,10,0.4444,0.3661,0.0609,0.083
SARIMA,tmax,11,0.4428,0.347,0.0677,0.03
SARIMA,tmax,12,0.4311,0.3417,-0.0108,0.0195
SARIMA,tmax,13,0.4357,0.356,0.099,0.0719
SARIMA,tmax,14,0.4378,0.3446,0.0365,0.0361
SARIMA,tmax,15,0.413,0.308,-0.099,-0.0551
SARIMA,tmax,16,0.3722,0.2896,-0.0929,-0.0432
SARIMA,tmax,17,0.3406,0.2324,0.0511,-0.0963
SARIMA,tmax,18,0.3115,0.2129,-0.0197,-0.0273
SARIMA,tmax,19,0.3009,0.2127,0.0599,0.0629
SARIMA,tmax,20,0.2945,0.2339,0.0403,0.1232
SARIMA,tmin,0,1.0,1.0,1.0,1.0
SARIMA,tmin,1,0.9573,0.7023,0.9617,0.7055
SARIMA,tmin,2,0.9239,0.7428,0.1008,0.5015
SARIMA,tmin,3,0.8919,0.6968,0.0135,0.2367
SARIMA,tmin,4,0.8702,0.6369,0.1286,0.0104
SARIMA,tmin,5,0.8461,0.6593,-0.0118,0.1404
SARIMA,tmin,6,0.8244,0.6096,0.0234,0.0517
SARIMA,tmin,7,0.8064,0.5757,0.0652,-0.0402
SARIMA,tmin,8,0.7902,0.5584,0.0283,-0.0115
SARIMA,tmin,9,0.7815,0.5333,0.1187,0.0312
SARIMA,tmin,10,0.7636,0.5272,-0.0893,0.0528
SARIMA,tmin,11,0.746,0.5221,-0.0149,0.0672
SARIMA,tmin,12,0.7326,0.4692,0.0794,-0.0718
SARIMA,tmin,13,0.7176,0.4931,-0.0427,0.0636
SARIMA,tmin,14,0.7004,0.4865,-0.0285,0.1102
SARIMA,tmin,15,0.6813,0.4414,-0.0216,-0.0677
SARIMA,tmin,16,0.6565,0.4739,-0.1234,0.0426
SARIMA,tmin,17,0.6343,0.4218,0.0039,-0.0192
SARIMA,tmin,18,0.615,0.3949,0.0017,-0.0975
SARIMA,tmin,19,0.5939,0.3791,-0.0557,-0.0814
SARIMA,tmin,20,0.5629,0.376,-0.1589,0.0692
ETS,precip,0,1.0,1.0,1.0,1.0
ETS,precip,1,0.1593,0.0865,0.16,0.0868
ETS,precip,2,0.155,0.1775,0.1342,0.1729
ETS,precip,3,-0.0445,-0.0402,-0.0923,-0.0713
ETS,precip,4,-0.0289,-0.039,-0.0325,-0.0647
ETS,precip,5,-0.0335,-0.0365,-0.0044,-0.0095
ETS,precip,6,-0.0123,-0.0056,-0.0014,0.015
ETS,precip,7,-0.0105,-0.0266,-0.0073,-0.0257
ETS,precip,8,-0.0287,-0.0312,-0.0307,-0.0371
ETS,precip,9,-0.0116,0.0067,-0.0031,0.0206
ETS,precip,10,0.0665,0.1017,0.0842,0.1207
ETS,precip,11,0.0349,0.048,0.0134,0.0239
ETS,precip,12,0.1403,-0.0083,0.1207,-0.0655
ETS,precip,13,-0.0017,-0.0143,-0.0436,-0.0146
ETS,precip,14,-0.0047,-0.0185,-0.0354,0.0151
ETS,precip,15,-0.0368,-0.0481,-0.006,-0.0432
ETS,precip,16,-0.0396,-0.0504,-0.0262,-0.0586
ETS,precip,17,-0.0247,-0.017,-0.0089,0.0085
ETS,precip,18,0.0684,0.1068,0.0966,0.1581
ETS,precip,19,0.1952,0.0452,0.2087,0.0264
ETS,precip,20,0.1473,0.2014,0.0914,0.1484
ETS,evap,0,1.0,1.0,1.0,1.0
ETS,evap,1,0.4145,0.2012,0.4209,0.2044
ETS,evap,2,0.254,0.1975,0.1032,0.1691
ETS,evap,3,0.0995,0.0527,-0.0467,-0.0149
ETS,evap,4,0.0203,-0.1752,-0.0372,-0.2452
ETS,evap,5,0.0342,-0.0883,0.0492,-0.036
ETS,evap,6,-0.0361,-0.0674,-0.0726,0.0404
ETS,evap,7,-0.0113,-0.1078,0.0178,-0.0768
ETS,evap,8,-0.0778,-0.0152,-0.0882,-0.0221
ETS,evap,9,0.019,-0.0995,0.1097,-0.1122
ETS,evap,10,-0.0217,-0.1737,-0.0569,-0.1952
ETS,evap,11,-0.0239,-0.1079,-0.0208,-0.0773
ETS,evap,12,-0.0266,0.0211,-0.0203,0.1623
ETS,evap,13,-0.0271,0.0125,0.0118,0.0104
ETS,evap,14,0.1425,-0.0786,0.2328,-0.3005
ETS,evap,15,-0.034,0.0378,-0.239,0.002
ETS,evap,16,-0.1318,-0.1522,-0.2275,-0.1663
ETS,evap,17,0.0381,-0.1566,0.3714,-0.2444
ETS,evap,18,0.0854,-0.2305,0.1332,-0.4035
ETS,evap,19,0.2329,-0.1262,0.202,-0.1268
ETS,evap,20,0.0526,0.1358,-0.3635,0.2873
ETS,tmax,0,1.0,1.0,1.0,1.0
ETS,tmax,1,0.8878,0.3571,0.8919,0.3588
ETS,tmax,2,0.783,0.318,-0.0254,0.2206
ETS,tmax,3,0.6951,0.2508,0.0232,0.103
ETS,tmax,4,0.6198,0.2088,0.0124,0.0596
ETS,tmax,5,0.5696,0.2412,0.0852,0.12
ETS,tmax,6,0.5192,0.1408,-0.0218,-0.0259
ETS,tmax,7,0.4825,0.1554,0.0547,0.0353
ETS,tmax,8,0.4717,0.1345,0.1223,0.0256
ETS,tmax,9,0.4536,0.0991,-0.0156,-0.0106
ETS,tmax,10,0.4444,0.2155,0.0609,0.1593
ETS,tmax,11,0.4428,0.1733,0.0677,0.0582
ETS,tmax,12,0.4311,0.1813,-0.0108,0.0433
ETS,tmax,13,0.4357,0.1425,0.099,-0.0015
ETS,tmax,14,0.4378,0.1532,0.0365,0.0416
ETS,tmax,15,0.413,0.0834,-0.099,-0.0835
ETS,tmax,16,0.3722,0.0028,-0.0929,-0.1187
ETS,tmax,17,0.3406,0.0625,0.0511,0.0304
ETS,tmax,18,0.3115,0.0897,-0.0197,0.0729
ETS,tmax,19,0.3009,0.1128,0.0599,0.0773
ETS,tmax,20,0.2945,0.0585,0.0403,-0.0344
ETS,tmin,0,1.0,1.0,1.0,1.0
ETS,tmin,1,0.9573,0.5209,0.9617,0.5233
ETS,tmin,2,0.9239,0.504,0.1008,0.3234
ETS,tmin,3,0.8919,0.5089,0.0135,0.2562
ETS,tmin,4,0.8702,0.4412,0.1286,0.0938
ETS,tmin,5,0.8461,0.4992,-0.0118,0.2068
ETS,tmin,6,0.8244,0.4692,0.0234,0.115
ETS,tmin,7,0.8064,0.4483,0.0652,0.0791
ETS,tmin,8,0.7902,0.4199,0.0283,0.0163
ETS,tmin,9,0.7815,0.3674,0.1187,-0.0382
ETS,tmin,10,0.7636,0.4091,-0.0893,0.0738
ETS,tmin,11,0.746,0.3924,-0.0149,0.0438
ETS,tmin,12,0.7326,0.4453,0.0794,0.1551
ETS,tmin,13,0.7176,0.4452,-0.0427,0.1111
ETS,tmin,14,0.7004,0.4047,-0.0285,0.0447
ETS,tmin,15,0.6813,0.3484,-0.0216,-0.0845
ETS,tmin,16,0.6565,0.2935,-0.1234,-0.1373
ETS,tmin,17,0.6343,0.3717,0.0039,0.0671
ETS,tmin,18,0.615,0.3519,0.0017,0.0187
ETS,tmin,19,0.5939,0.3337,-0.0557,0.0045
ETS,tmin,20,0.5629,0.3459,-0.1589,0.0361
Prophet,precip,0,1.0,1.0,1.0,1.0
Prophet,precip,1,0.1593,0.2536,0.16,0.2548
Prophet,precip,2,0.155,0.2001,0.1342,0.1465
Prophet,precip,3,-0.0445,0.0277,-0.0923,-0.0581
Prophet,precip,4,-0.0289,0.0208,-0.0325,-0.0027
Prophet,precip,5,-0.0335,0.0195,-0.0044,0.0252
Prophet,precip,6,-0.0123,0.0569,-0.0014,0.0522
Prophet,precip,7,-0.0105,0.0659,-0.0073,0.0412
Prophet,precip,8,-0.0287,-0.0086,-0.0307,-0.0566
Prophet,precip,9,-0.0116,-0.025,-0.0031,-0.0326
Prophet,precip,10,0.0665,0.0976,0.0842,0.1435
Prophet,precip,11,0.0349,0.0448,0.0134,0.0059
Prophet,precip,12,0.1403,-0.0228,0.1207,-0.0968
Prophet,precip,13,-0.0017,0.0123,-0.0436,0.0296
Prophet,precip,14,-0.0047,-0.0039,-0.0354,0.0173
Prophet,precip,15,-0.0368,0.0018,-0.006,-0.0001
Prophet,precip,16,-0.0396,-0.0333,-0.0262,-0.0545
Prophet,precip,17,-0.0247,0.0203,-0.0089,0.0207
Prophet,precip,18,0.0684,0.1145,0.0966,0.1639
Prophet,precip,19,0.1952,0.0966,0.2087,0.0661
Prophet,precip,20,0.1473,0.2043,0.0914,0.1308
Prophet,evap,0,1.0,1.0,1.0,1.0
Prophet,evap,1,0.4145,0.4221,0.4209,0.4287
Prophet,evap,2,0.254,0.3362,0.1032,0.1998
Prophet,evap,3,0.0995,0.1464,-0.0467,-0.0653
Prophet,evap,4,0.0203,0.0216,-0.0372,-0.1034
Prophet,evap,5,0.0342,-0.0131,0.0492,-0.0073
Prophet,evap,6,-0.0361,-0.033,-0.0726,0.0067
Prophet,evap,7,-0.0113,-0.0279,0.0178,0.0022
Prophet,evap,8,-0.0778,-0.0985,-0.0882,-0.1191
Prophet,evap,9,0.019,-0.0952,0.1097,-0.0466
Prophet,evap,10,-0.0217,-0.1265,-0.0569,-0.0561
Prophet,evap,11,-0.0239,-0.059,-0.0208,0.061
Prophet,evap,12,-0.0266,-0.0171,-0.0203,0.0467
Prophet,evap,13,-0.0271,0.0781,0.0118,0.114
Prophet,evap,14,0.1425,0.1185,0.2328,0.0726
Prophet,evap,15,-0.034,0.023,-0.239,-0.1479
Prophet,evap,16,-0.1318,-0.09,-0.2275,-0.2389
Prophet,evap,17,0.0381,-0.0143,0.3714,0.1475
Prophet,evap,18,0.0854,-0.0595,0.1332,0.0137
Prophet,evap,19,0.2329,0.0851,0.202,0.2146
Prophet,evap,20,0.0526,-0.0113,-0.3635,-0.2008
Prophet,tmax,0,1.0,1.0,1.0,1.0
Prophet,tmax,1,0.8878,0.3678,0.8919,0.3694
Prophet,tmax,2,0.783,0.4869,-0.0254,0.4109
Prophet,tmax,3,0.6951,0.3681,0.0232,0.1595
Prophet,tmax,4,0.6198,0.2915,0.0124,-0.0052
Prophet,tmax,5,0.5696,0.2906,0.0852,0.0486
Prophet,tmax,6,0.5192,0.3201,-0.0218,0.1561
Prophet,tmax,7,0.4825,0.2649,0.0547,0.0528
Prophet,tmax,8,0.4717,0.2171,0.1223,-0.0628
Prophet,tmax,9,0.4536,0.2097,-0.0156,-0.0125
Prophet,tmax,10,0.4444,0.2098,0.0609,0.075
Prophet,tmax,11,0.4428,0.2219,0.0677,0.0895
Prophet,tmax,12,0.4311,0.1997,-0.0108,-0.0002
Prophet,tmax,13,0.4357,0.2251,0.099,0.0366
Prophet,tmax,14,0.4378,0.2249,0.0365,0.0842
Prophet,tmax,15,0.413,0.1427,-0.099,-0.067
Prophet,tmax,16,0.3722,0.1665,-0.0929,-0.0412
Prophet,tmax,17,0.3406,0.1675,0.0511,0.0471
