modelo,variable,lag,acf_orig,acf_imp,pacf_orig,pacf_imp
XGBoost,precip,0,1.0,1.0,1.0,1.0
XGBoost,precip,1,0.1222,0.4597,0.1223,0.4599
XGBoost,precip,2,0.1321,0.4242,0.119,0.2701
XGBoost,precip,3,0.0214,0.4606,-0.0076,0.2659
XGBoost,precip,4,0.0567,0.4097,0.0407,0.1318
XGBoost,precip,5,0.0661,0.4883,0.0559,0.2459
XGBoost,precip,6,0.1056,0.4175,0.084,0.0754
XGBoost,precip,7,0.0831,0.4074,0.051,0.0812
XGBoost,precip,8,0.0933,0.4404,0.0584,0.1084
XGBoost,precip,9,0.0535,0.4338,0.0205,0.106
XGBoost,precip,10,0.0479,0.3937,0.0156,0.0109
XGBoost,precip,11,0.076,0.3866,0.0517,0.0249
XGBoost,precip,12,0.0682,0.4493,0.0331,0.1339
XGBoost,precip,13,0.0777,0.3995,0.0377,0.0211
XGBoost,precip,14,0.0976,0.3673,0.0607,-0.0203
XGBoost,precip,15,0.0607,0.3964,0.0174,0.0482
XGBoost,precip,16,0.0771,0.3947,0.0372,0.0531
XGBoost,precip,17,0.0348,0.3707,-0.004,-0.0224
XGBoost,precip,18,0.0901,0.3632,0.0548,-0.0003
XGBoost,precip,19,0.0646,0.3607,0.0232,0.0242
XGBoost,precip,20,0.1271,0.3627,0.0801,0.0061
XGBoost,evap,0,1.0,1.0,1.0,1.0
XGBoost,evap,1,0.5009,0.9306,0.501,0.9309
XGBoost,evap,2,0.4343,0.9124,0.245,0.3474
XGBoost,evap,3,0.4088,0.9001,0.1734,0.1954
XGBoost,evap,4,0.4066,0.8895,0.1536,0.1226
XGBoost,evap,5,0.4625,0.8775,0.218,0.0605
XGBoost,evap,6,0.411,0.8609,0.0789,-0.0102
XGBoost,evap,7,0.403,0.8496,0.0845,0.0205
XGBoost,evap,8,0.4017,0.8421,0.084,0.0516
XGBoost,evap,9,0.3686,0.8282,0.0243,-0.012
XGBoost,evap,10,0.387,0.8177,0.0632,0.0114
XGBoost,evap,11,0.3933,0.8065,0.0738,0.0032
XGBoost,evap,12,0.3941,0.7969,0.0639,0.01
XGBoost,evap,13,0.3653,0.7876,0.0111,0.0119
XGBoost,evap,14,0.3759,0.7725,0.0592,-0.0385
XGBoost,evap,15,0.375,0.7594,0.0417,-0.028
XGBoost,evap,16,0.3639,0.753,0.0193,0.0368
XGBoost,evap,17,0.3501,0.742,0.0058,-0.0003
XGBoost,evap,18,0.355,0.7268,0.0329,-0.0437
XGBoost,evap,19,0.3624,0.7122,0.0357,-0.035
XGBoost,evap,20,0.3288,0.6931,-0.0221,-0.08
XGBoost,tmax,0,1.0,1.0,1.0,1.0
XGBoost,tmax,1,0.7127,0.8384,0.7129,0.8387
XGBoost,tmax,2,0.5896,0.7579,0.1662,0.1854
XGBoost,tmax,3,0.5341,0.7205,0.1368,0.1663
XGBoost,tmax,4,0.5088,0.6987,0.1198,0.1262
XGBoost,tmax,5,0.4991,0.6813,0.111,0.0946
XGBoost,tmax,6,0.4613,0.6592,0.0251,0.0494
XGBoost,tmax,7,0.4472,0.6381,0.0674,0.0387
XGBoost,tmax,8,0.4384,0.6236,0.0575,0.0474
XGBoost,tmax,9,0.4308,0.6124,0.05,0.0433
XGBoost,tmax,10,0.4148,0.6014,0.0252,0.0357
XGBoost,tmax,11,0.4062,0.5921,0.0415,0.0366
XGBoost,tmax,12,0.3983,0.5824,0.0306,0.0285
XGBoost,tmax,13,0.4004,0.5842,0.0498,0.0666
XGBoost,tmax,14,0.3929,0.5808,0.0244,0.0336
XGBoost,tmax,15,0.3973,0.5748,0.0535,0.0282
XGBoost,tmax,16,0.3893,0.5618,0.0182,-0.0014
XGBoost,tmax,17,0.3776,0.5469,0.0125,-0.0073
XGBoost,tmax,18,0.363,0.5428,0.0004,0.0288
XGBoost,tmax,19,0.3561,0.5337,0.0171,0.0001
XGBoost,tmax,20,0.3547,0.5236,0.0203,0.0033
XGBoost,tmin,0,1.0,1.0,1.0,1.0
XGBoost,tmin,1,0.9488,0.9787,0.9492,0.9791
XGBoost,tmin,2,0.9186,0.963,0.1847,0.1219
XGBoost,tmin,3,0.8989,0.9507,0.1371,0.094
XGBoost,tmin,4,0.8829,0.9398,0.087,0.0541
XGBoost,tmin,5,0.8714,0.9313,0.09,0.0767
XGBoost,tmin,6,0.8665,0.9239,0.1187,0.052
XGBoost,tmin,7,0.8603,0.9167,0.0592,0.0308
XGBoost,tmin,8,0.8548,0.9098,0.0593,0.0267
XGBoost,tmin,9,0.8483,0.9027,0.0335,0.009
XGBoost,tmin,10,0.8427,0.8959,0.0422,0.0184
XGBoost,tmin,11,0.8353,0.8883,0.0133,-0.0128
XGBoost,tmin,12,0.8262,0.8794,-0.0055,-0.033
XGBoost,tmin,13,0.8167,0.8704,-0.0056,-0.0162
XGBoost,tmin,14,0.8058,0.8596,-0.0243,-0.0613
XGBoost,tmin,15,0.7928,0.8487,-0.0411,-0.0291
XGBoost,tmin,16,0.7812,0.8382,-0.0202,-0.0207
XGBoost,tmin,17,0.7732,0.828,0.0136,-0.0123
XGBoost,tmin,18,0.7616,0.8176,-0.0427,-0.0236
XGBoost,tmin,19,0.7522,0.807,-0.0024,-0.0212
XGBoost,tmin,20,0.7422,0.7963,-0.0191,-0.019
