variable,rmse,mae,mape,r2,nse,modelo,stat_orig,p_orig,stat_imp,p_imp,preserva_estacionariedad
precip,0.010681471971268,0.0053269361212053,30489501.853451207,-0.0049913126852916,-0.0049892539853146,SARIMA,0.1929,0.1,0.171,0.1,True
evap,0.2367000028166949,0.228935286716168,66.94487638784251,-14.580605423141494,-14.580602090192349,SARIMA,0.3903,0.0813,0.0574,0.1,True
tmax,0.8326833712379087,0.5671856313531696,190.0304298453364,-0.3060376234034865,-0.3060376228313717,SARIMA,1.1414,0.01,1.0547,0.01,True
tmin,1.166374459585056,0.8809186061802166,395.8932949627728,-0.8512745593017788,-0.8512745587159143,SARIMA,0.8945,0.01,0.8049,0.01,True
precip,0.0118787174995266,0.0041297199059121,14798229.80342936,-0.2429086351189799,-0.2429060890512218,ETS,0.1929,0.1,0.15,0.1,True
evap,0.2247083392650857,0.2136377496557527,62.48087695333736,-13.041909935204476,-13.04190693140774,ETS,0.3903,0.0813,0.0592,0.1,True
tmax,1.620685732895348,1.339162755690234,236.1337609091084,-3.947587940173448,-3.947587938006138,ETS,1.1414,0.01,0.945,0.01,True
tmin,1.8006292760643003,1.5692288528634466,383.6423415436233,-3.412080670670349,-3.412080669274077,ETS,0.8945,0.01,1.0686,0.01,True
precip,0.0123855976668693,0.0065462458957829,39567317.29062484,-0.3512447942863321,-0.3512420262946174,Prophet,0.1929,0.1,0.2088,0.1,True
evap,0.0687883985560417,0.0572039389638542,17.74808015338974,-0.315885801294494,-0.3158855198047612,Prophet,0.3903,0.0813,0.2826,0.1,True
tmax,1.637002744442861,1.5377065312403302,371.70119369241297,-4.047713758106678,-4.047713755895507,Prophet,1.1414,0.01,1.0214,0.01,True
tmin,0.4903905642687937,0.3656116093508394,89.1115063574897,0.6727504628337557,0.6727504629373189,Prophet,0.8945,0.01,0.86,0.01,True
precip,0.0111802862419506,0.0061715624334517,38626934.892746605,-0.1010472145242169,-0.1010449590560884,TBATS,0.1929,0.1,0.1884,0.1,True
evap,0.2467626081945843,0.2393783527801747,70.1838673276745,-15.933491220854464,-15.933487598500673,TBATS,0.3903,0.0813,0.0558,0.1,True
tmax,0.8547388143354638,0.5903614628639016,198.74171222576103,-0.3761404365838279,-0.3761404359810043,TBATS,1.1414,0.01,1.0475,0.01,True
tmin,1.6572423900711877,1.4314962348274052,468.9494808083163,-2.73737690409181,-2.7373769029090598,TBATS,0.8945,0.01,1.1919,0.01,True
