modelo,variable,mae,mape,nse,r2,rmse
Autoencoder,evap,0.0411,256668.5,0.6628,0.6628,0.058
Autoencoder,precip,0.0083,40165336.0,0.0664,0.0664,0.0222
Autoencoder,tmax,0.2781,82.1384,0.8486,0.8486,0.3917
Autoencoder,tmin,0.1846,54.5379,0.9365,0.9365,0.2561
BiGRU,evap,0.0383,230037.6875,0.6923,0.6923,0.0554
BiGRU,precip,0.0081,39545272.0,0.0918,0.0918,0.0219
BiGRU,tmax,0.2748,78.4842,0.852,0.852,0.3873
BiGRU,tmin,0.1802,52.1375,0.939,0.939,0.251
BiLSTM,evap,0.0388,230560.5156,0.6874,0.6874,0.0559
BiLSTM,precip,0.0101,59397188.0,0.0693,0.0693,0.0222
BiLSTM,tmax,0.2758,79.9175,0.8503,0.8503,0.3895
BiLSTM,tmin,0.1813,52.4657,0.938,0.938,0.253
ETS,evap,0.2136,62.4809,-13.0419,-13.0419,0.2247
ETS,precip,0.0041,14798229.8034,-0.2429,-0.2429,0.0119
ETS,tmax,1.3392,236.1338,-3.9476,-3.9476,1.6207
ETS,tmin,1.5692,383.6423,-3.4121,-3.4121,1.8006
Prophet,evap,0.0572,17.7481,-0.3159,-0.3159,0.0688
Prophet,precip,0.0065,39567317.2906,-0.3512,-0.3512,0.0124
Prophet,tmax,1.5377,371.7012,-4.0477,-4.0477,1.637
Prophet,tmin,0.3656,89.1115,0.6728,0.6728,0.4904
SARIMA,evap,0.2289,66.9449,-14.5806,-14.5806,0.2367
SARIMA,precip,0.0053,30489501.8535,-0.005,-0.005,0.0107
SARIMA,tmax,0.5672,190.0304,-0.306,-0.306,0.8327
SARIMA,tmin,0.8809,395.8933,-0.8513,-0.8513,1.1664
TBATS,evap,0.2394,70.1839,-15.9335,-15.9335,0.2468
TBATS,precip,0.0062,38626934.8927,-0.101,-0.101,0.0112
TBATS,tmax,0.5904,198.7417,-0.3761,-0.3761,0.8547
TBATS,tmin,1.4315,468.9495,-2.7374,-2.7374,1.6572
XGBoost,evap,0.0381,181717.0513,0.6891,0.6891,0.0559
XGBoost,precip,0.0069,26593808.0758,0.1394,0.1394,0.0208
XGBoost,tmax,0.3021,88.2838,0.8271,0.8271,0.4183
XGBoost,tmin,0.1986,56.9026,0.9265,0.9265,0.2761
