modelo,variable,p_imp,p_orig,preserva_estacionariedad,stat_imp,stat_orig
Autoencoder,evap,0.1,0.1,True,0.1306,0.1772
Autoencoder,precip,0.1,0.1,True,0.1491,0.2287
Autoencoder,tmax,0.0731,0.0593,True,0.4095,0.4415
Autoencoder,tmin,0.1,0.1,True,0.1406,0.1453
BiGRU,evap,0.1,0.1,True,0.1518,0.1772
BiGRU,precip,0.1,0.1,True,0.1581,0.2287
BiGRU,tmax,0.0863,0.0593,True,0.3787,0.4415
BiGRU,tmin,0.1,0.1,True,0.1427,0.1453
ETS,evap,0.1,0.0813,True,0.0592,0.3903
ETS,precip,0.1,0.1,True,0.15,0.1929
ETS,tmax,0.01,0.01,True,0.945,1.1414
ETS,tmin,0.01,0.01,True,1.0686,0.8945
Prophet,evap,0.1,0.0813,True,0.2826,0.3903
Prophet,precip,0.1,0.1,True,0.2088,0.1929
Prophet,tmax,0.01,0.01,True,1.0214,1.1414
Prophet,tmin,0.01,0.01,True,0.86,0.8945
SARIMA,evap,0.1,0.0813,True,0.0574,0.3903
SARIMA,precip,0.1,0.1,True,0.171,0.1929
SARIMA,tmax,0.01,0.01,True,1.0547,1.1414
SARIMA,tmin,0.01,0.01,True,0.8049,0.8945
TBATS,evap,0.1,0.0813,True,0.0558,0.3903
TBATS,precip,0.1,0.1,True,0.1884,0.1929
TBATS,tmax,0.01,0.01,True,1.0475,1.1414
TBATS,tmin,0.01,0.01,True,1.1919,0.8945
XGBoost,evap,0.01,0.01,True,1.1833,1.2476
XGBoost,precip,0.0201,0.01,True,0.6277,1.5165
XGBoost,tmax,0.1,0.0563,True,0.2961,0.4483
XGBoost,tmin,0.0424,0.0335,True,0.4968,0.5365
