modelo,variable,lag,acf_orig,acf_imp,pacf_orig,pacf_imp
CSDI,precip,0,1.0,1.0,1.0,1.0
CSDI,precip,1,0.1011,0.1011,0.1011,0.1011
CSDI,precip,2,0.2046,0.2046,0.1966,0.1966
CSDI,precip,3,0.0488,0.0488,0.013,0.013
CSDI,precip,4,0.0748,0.0748,0.0312,0.0312
CSDI,precip,5,0.0463,0.0463,0.0273,0.0273
CSDI,precip,6,0.0864,0.0864,0.063,0.063
CSDI,precip,7,0.0893,0.0893,0.0657,0.0657
CSDI,precip,8,0.105,0.105,0.0662,0.0662
CSDI,precip,9,0.1191,0.1191,0.0777,0.0777
CSDI,precip,10,0.1134,0.1134,0.0644,0.0644
CSDI,precip,11,0.0674,0.0674,0.0102,0.0102
CSDI,precip,12,0.0879,0.0879,0.0389,0.0389
CSDI,precip,13,0.0963,0.0963,0.0598,0.0598
CSDI,precip,14,0.0643,0.0643,0.0119,0.0119
CSDI,precip,15,0.0938,0.0938,0.0407,0.0407
CSDI,precip,16,0.1251,0.1251,0.0808,0.0808
CSDI,precip,17,0.133,0.133,0.075,0.075
CSDI,precip,18,0.2667,0.2667,0.2111,0.2111
CSDI,precip,19,0.2228,0.2228,0.1587,0.1587
CSDI,precip,20,0.2802,0.2802,0.1994,0.1994
CSDI,evap,0,1.0,1.0,1.0,1.0
CSDI,evap,1,0.5954,0.5954,0.5956,0.5956
CSDI,evap,2,0.5388,0.5388,0.2858,0.2858
CSDI,evap,3,0.5431,0.5431,0.2432,0.2432
CSDI,evap,4,0.5368,0.5368,0.181,0.181
CSDI,evap,5,0.5206,0.5206,0.1269,0.1269
CSDI,evap,6,0.5137,0.5137,0.1079,0.1079
CSDI,evap,7,0.5042,0.5042,0.0832,0.0832
CSDI,evap,8,0.499,0.499,0.0751,0.0751
CSDI,evap,9,0.5056,0.5056,0.088,0.088
CSDI,evap,10,0.5247,0.5247,0.1161,0.1161
CSDI,evap,11,0.5067,0.5067,0.059,0.059
CSDI,evap,12,0.4955,0.4955,0.0439,0.0439
CSDI,evap,13,0.4989,0.4989,0.0531,0.0531
CSDI,evap,14,0.5139,0.5139,0.0797,0.0797
CSDI,evap,15,0.5307,0.5307,0.1018,0.1018
CSDI,evap,16,0.5628,0.5628,0.149,0.149
CSDI,evap,17,0.5861,0.5861,0.1652,0.1652
CSDI,evap,18,0.575,0.575,0.1155,0.1155
CSDI,evap,19,0.5922,0.5922,0.1475,0.1475
CSDI,evap,20,0.5802,0.5802,0.1007,0.1007
CSDI,tmax,0,1.0,1.0,1.0,1.0
CSDI,tmax,1,0.648,0.648,0.6482,0.6482
CSDI,tmax,2,0.4981,0.4981,0.1351,0.1351
CSDI,tmax,3,0.4348,0.4348,0.1199,0.1199
CSDI,tmax,4,0.4116,0.4116,0.1133,0.1133
CSDI,tmax,5,0.4069,0.4069,0.1087,0.1087
CSDI,tmax,6,0.389,0.389,0.065,0.065
CSDI,tmax,7,0.3879,0.3879,0.0859,0.0859
CSDI,tmax,8,0.385,0.385,0.0697,0.0697
CSDI,tmax,9,0.3772,0.3772,0.0546,0.0546
CSDI,tmax,10,0.3709,0.3709,0.0517,0.0517
CSDI,tmax,11,0.3526,0.3526,0.0235,0.0235
CSDI,tmax,12,0.3603,0.3603,0.0652,0.0652
CSDI,tmax,13,0.3694,0.3694,0.0605,0.0605
CSDI,tmax,14,0.3923,0.3923,0.0887,0.0887
CSDI,tmax,15,0.4253,0.4253,0.1116,0.1116
CSDI,tmax,16,0.4583,0.4583,0.1233,0.1233
CSDI,tmax,17,0.5137,0.5137,0.1804,0.1804
CSDI,tmax,18,0.5548,0.5548,0.1797,0.1797
CSDI,tmax,19,0.5754,0.5754,0.1746,0.1746
CSDI,tmax,20,0.534,0.534,0.0727,0.0727
CSDI,tmin,0,1.0,1.0,1.0,1.0
CSDI,tmin,1,0.9424,0.9424,0.9427,0.9427
CSDI,tmin,2,0.9037,0.9037,0.1402,0.1402
CSDI,tmin,3,0.8785,0.8785,0.1312,0.1312
CSDI,tmin,4,0.8657,0.8657,0.1488,0.1488
CSDI,tmin,5,0.8586,0.8586,0.1203,0.1203
CSDI,tmin,6,0.8519,0.8519,0.0813,0.0813
CSDI,tmin,7,0.8485,0.8485,0.0988,0.0988
CSDI,tmin,8,0.847,0.847,0.0902,0.0902
CSDI,tmin,9,0.8477,0.8477,0.0956,0.0956
CSDI,tmin,10,0.8495,0.8495,0.0908,0.0908
CSDI,tmin,11,0.8429,0.8429,-0.0017,-0.0017
CSDI,tmin,12,0.8391,0.8391,0.0587,0.0587
CSDI,tmin,13,0.8407,0.8407,0.0921,0.0921
CSDI,tmin,14,0.8441,0.8441,0.0784,0.0784
CSDI,tmin,15,0.8486,0.8486,0.0843,0.0843
CSDI,tmin,16,0.8589,0.8589,0.1486,0.1486
CSDI,tmin,17,0.8747,0.8747,0.1863,0.1863
CSDI,tmin,18,0.8859,0.8859,0.1333,0.1333
CSDI,tmin,19,0.892,0.892,0.1209,0.1209
CSDI,tmin,20,0.8903,0.8903,0.0731,0.0731
