modelo,variable,lag,acf_orig,acf_imp,pacf_orig,pacf_imp
SAITS,precip,0,1.0,1.0,1.0,1.0
SAITS,precip,1,0.1011,0.7147,0.1011,0.715
SAITS,precip,2,0.2046,0.6989,0.1966,0.385
SAITS,precip,3,0.0488,0.6613,0.013,0.1902
SAITS,precip,4,0.0748,0.6625,0.0312,0.1844
SAITS,precip,5,0.0463,0.6512,0.0273,0.1344
SAITS,precip,6,0.0864,0.6612,0.063,0.1503
SAITS,precip,7,0.0893,0.6588,0.0657,0.1215
SAITS,precip,8,0.105,0.6667,0.0662,0.1257
SAITS,precip,9,0.1191,0.663,0.0777,0.0992
SAITS,precip,10,0.1134,0.6592,0.0644,0.078
SAITS,precip,11,0.0674,0.6486,0.0102,0.0507
SAITS,precip,12,0.0879,0.6512,0.0389,0.0661
SAITS,precip,13,0.0963,0.6518,0.0598,0.0671
SAITS,precip,14,0.0643,0.6411,0.0119,0.0277
SAITS,precip,15,0.0938,0.6397,0.0407,0.0342
SAITS,precip,16,0.1251,0.6503,0.0808,0.0704
SAITS,precip,17,0.133,0.6532,0.075,0.0649
SAITS,precip,18,0.2667,0.6876,0.2111,0.1534
SAITS,precip,19,0.2228,0.6859,0.1587,0.1084
SAITS,precip,20,0.2802,0.6797,0.1994,0.0695
SAITS,evap,0,1.0,1.0,1.0,1.0
SAITS,evap,1,0.5954,0.9373,0.5956,0.9376
SAITS,evap,2,0.5388,0.9187,0.2858,0.3328
SAITS,evap,3,0.5431,0.9124,0.2432,0.2428
SAITS,evap,4,0.5368,0.9094,0.181,0.1887
SAITS,evap,5,0.5206,0.9091,0.1269,0.1699
SAITS,evap,6,0.5137,0.9045,0.1079,0.0972
SAITS,evap,7,0.5042,0.9032,0.0832,0.1081
SAITS,evap,8,0.499,0.9027,0.0751,0.0993
SAITS,evap,9,0.5056,0.9032,0.088,0.0996
SAITS,evap,10,0.5247,0.9024,0.1161,0.0801
SAITS,evap,11,0.5067,0.8982,0.059,0.0364
SAITS,evap,12,0.4955,0.8941,0.0439,0.0209
SAITS,evap,13,0.4989,0.8949,0.0531,0.0615
SAITS,evap,14,0.5139,0.8978,0.0797,0.0849
SAITS,evap,15,0.5307,0.8992,0.1018,0.0765
SAITS,evap,16,0.5628,0.9019,0.149,0.0966
SAITS,evap,17,0.5861,0.904,0.1652,0.0949
SAITS,evap,18,0.575,0.9019,0.1155,0.0465
SAITS,evap,19,0.5922,0.8994,0.1475,0.0305
SAITS,evap,20,0.5802,0.8948,0.1007,-0.0018
SAITS,tmax,0,1.0,1.0,1.0,1.0
SAITS,tmax,1,0.648,0.8535,0.6482,0.8538
SAITS,tmax,2,0.4981,0.8377,0.1351,0.4034
SAITS,tmax,3,0.4348,0.8231,0.1199,0.2313
SAITS,tmax,4,0.4116,0.8122,0.1133,0.1562
SAITS,tmax,5,0.4069,0.8134,0.1087,0.1643
SAITS,tmax,6,0.389,0.8042,0.065,0.0989
SAITS,tmax,7,0.3879,0.7969,0.0859,0.0709
SAITS,tmax,8,0.385,0.7881,0.0697,0.0462
SAITS,tmax,9,0.3772,0.7833,0.0546,0.0506
SAITS,tmax,10,0.3709,0.7853,0.0517,0.0779
SAITS,tmax,11,0.3526,0.779,0.0235,0.0428
SAITS,tmax,12,0.3603,0.7823,0.0652,0.0738
SAITS,tmax,13,0.3694,0.786,0.0605,0.0874
SAITS,tmax,14,0.3923,0.7832,0.0887,0.0561
SAITS,tmax,15,0.4253,0.7866,0.1116,0.0694
SAITS,tmax,16,0.4583,0.7933,0.1233,0.0955
SAITS,tmax,17,0.5137,0.8043,0.1804,0.1244
SAITS,tmax,18,0.5548,0.8067,0.1797,0.0914
SAITS,tmax,19,0.5754,0.8196,0.1746,0.1386
SAITS,tmax,20,0.534,0.8025,0.0727,0.0027
SAITS,tmin,0,1.0,1.0,1.0,1.0
SAITS,tmin,1,0.9424,0.8477,0.9427,0.8479
SAITS,tmin,2,0.9037,0.7616,0.1402,0.1535
SAITS,tmin,3,0.8785,0.7026,0.1312,0.095
SAITS,tmin,4,0.8657,0.6677,0.1488,0.105
SAITS,tmin,5,0.8586,0.6466,0.1203,0.0942
SAITS,tmin,6,0.8519,0.6236,0.0813,0.0472
SAITS,tmin,7,0.8485,0.6122,0.0988,0.0787
SAITS,tmin,8,0.847,0.6062,0.0902,0.0734
SAITS,tmin,9,0.8477,0.6033,0.0956,0.0676
SAITS,tmin,10,0.8495,0.6042,0.0908,0.072
SAITS,tmin,11,0.8429,0.5884,-0.0017,-0.0002
SAITS,tmin,12,0.8391,0.5823,0.0587,0.0512
SAITS,tmin,13,0.8407,0.5908,0.0921,0.0936
SAITS,tmin,14,0.8441,0.5982,0.0784,0.0647
SAITS,tmin,15,0.8486,0.6067,0.0843,0.0685
SAITS,tmin,16,0.8589,0.6257,0.1486,0.1151
SAITS,tmin,17,0.8747,0.6631,0.1863,0.1728
SAITS,tmin,18,0.8859,0.6948,0.1333,0.1378
SAITS,tmin,19,0.892,0.7139,0.1209,0.111
SAITS,tmin,20,0.8903,0.7133,0.0731,0.0588
