modelo,variable,lag,acf_orig,acf_imp,pacf_orig,pacf_imp
VAE,precip,0,1.0,1.0,1.0,1.0
VAE,precip,1,0.1011,0.9934,0.1011,0.9938
VAE,precip,2,0.2046,0.986,0.1966,-0.0769
VAE,precip,3,0.0488,0.9794,0.013,0.0696
VAE,precip,4,0.0748,0.9741,0.0312,0.0947
VAE,precip,5,0.0463,0.9695,0.0273,0.0493
VAE,precip,6,0.0864,0.9648,0.063,-0.0127
VAE,precip,7,0.0893,0.9601,0.0657,0.0152
VAE,precip,8,0.105,0.9557,0.0662,0.0387
VAE,precip,9,0.1191,0.9521,0.0777,0.0557
VAE,precip,10,0.1134,0.9493,0.0644,0.062
VAE,precip,11,0.0674,0.9473,0.0102,0.0783
VAE,precip,12,0.0879,0.946,0.0389,0.0627
VAE,precip,13,0.0963,0.945,0.0598,0.055
VAE,precip,14,0.0643,0.9443,0.0119,0.0558
VAE,precip,15,0.0938,0.9438,0.0407,0.0447
VAE,precip,16,0.1251,0.9436,0.0808,0.0516
VAE,precip,17,0.133,0.9436,0.075,0.046
VAE,precip,18,0.2667,0.9434,0.2111,0.016
VAE,precip,19,0.2228,0.9431,0.1587,0.0338
VAE,precip,20,0.2802,0.9424,0.1994,-0.0022
VAE,evap,0,1.0,1.0,1.0,1.0
VAE,evap,1,0.5954,0.9875,0.5956,0.9878
VAE,evap,2,0.5388,0.9738,0.2858,-0.0535
VAE,evap,3,0.5431,0.9599,0.2432,-0.0175
VAE,evap,4,0.5368,0.9477,0.181,0.0673
VAE,evap,5,0.5206,0.9365,0.1269,0.0266
VAE,evap,6,0.5137,0.9259,0.1079,0.0154
VAE,evap,7,0.5042,0.9155,0.0832,0.0047
VAE,evap,8,0.499,0.9059,0.0751,0.0285
VAE,evap,9,0.5056,0.8974,0.088,0.047
VAE,evap,10,0.5247,0.8902,0.1161,0.0429
VAE,evap,11,0.5067,0.8838,0.059,0.0301
VAE,evap,12,0.4955,0.8781,0.0439,0.0344
VAE,evap,13,0.4989,0.873,0.0531,0.0308
VAE,evap,14,0.5139,0.8684,0.0797,0.0281
VAE,evap,15,0.5307,0.8646,0.1018,0.0373
VAE,evap,16,0.5628,0.8611,0.149,0.0234
VAE,evap,17,0.5861,0.8579,0.1652,0.0229
VAE,evap,18,0.575,0.8547,0.1155,0.0127
VAE,evap,19,0.5922,0.8518,0.1475,0.0281
VAE,evap,20,0.5802,0.8488,0.1007,0.0075
VAE,tmax,0,1.0,1.0,1.0,1.0
VAE,tmax,1,0.648,0.9844,0.6482,0.9848
VAE,tmax,2,0.4981,0.9635,0.1351,-0.1858
VAE,tmax,3,0.4348,0.939,0.1199,-0.0992
VAE,tmax,4,0.4116,0.9133,0.1133,-0.0224
VAE,tmax,5,0.4069,0.8877,0.1087,0.0111
VAE,tmax,6,0.389,0.8638,0.065,0.0442
VAE,tmax,7,0.3879,0.8432,0.0859,0.0784
VAE,tmax,8,0.385,0.8269,0.0697,0.098
VAE,tmax,9,0.3772,0.8163,0.0546,0.1251
VAE,tmax,10,0.3709,0.8107,0.0517,0.0974
VAE,tmax,11,0.3526,0.8099,0.0235,0.0969
VAE,tmax,12,0.3603,0.813,0.0652,0.0863
VAE,tmax,13,0.3694,0.8191,0.0605,0.0733
VAE,tmax,14,0.3923,0.8268,0.0887,0.0593
VAE,tmax,15,0.4253,0.835,0.1116,0.0549
VAE,tmax,16,0.4583,0.8429,0.1233,0.0524
VAE,tmax,17,0.5137,0.849,0.1804,0.0162
VAE,tmax,18,0.5548,0.8519,0.1797,-0.0091
VAE,tmax,19,0.5754,0.8523,0.1746,0.0284
VAE,tmax,20,0.534,0.8495,0.0727,-0.0057
VAE,tmin,0,1.0,1.0,1.0,1.0
VAE,tmin,1,0.9424,0.9975,0.9427,0.9979
VAE,tmin,2,0.9037,0.9946,0.1402,-0.1066
VAE,tmin,3,0.8785,0.9915,0.1312,-0.0405
VAE,tmin,4,0.8657,0.9884,0.1488,-0.0008
VAE,tmin,5,0.8586,0.9852,0.1203,0.0121
VAE,tmin,6,0.8519,0.9824,0.0813,0.0516
VAE,tmin,7,0.8485,0.9797,0.0988,0.0424
VAE,tmin,8,0.847,0.9774,0.0902,0.0591
VAE,tmin,9,0.8477,0.9753,0.0956,0.034
VAE,tmin,10,0.8495,0.9735,0.0908,0.0521
VAE,tmin,11,0.8429,0.972,-0.0017,0.0654
VAE,tmin,12,0.8391,0.9708,0.0587,0.0582
VAE,tmin,13,0.8407,0.9698,0.0921,0.0461
VAE,tmin,14,0.8441,0.969,0.0784,0.036
VAE,tmin,15,0.8486,0.9683,0.0843,0.0364
VAE,tmin,16,0.8589,0.9677,0.1486,0.0533
VAE,tmin,17,0.8747,0.9673,0.1863,0.0373
VAE,tmin,18,0.8859,0.9669,0.1333,0.0289
VAE,tmin,19,0.892,0.9666,0.1209,0.065
VAE,tmin,20,0.8903,0.9663,0.0731,0.0128
