familia,modelo,nse_evap,nse_precip,nse_tmax,nse_tmin,rmse_evap,rmse_precip,rmse_tmax,rmse_tmin
Base,Autoencoder,0.6628,0.0664,0.8486,0.9365,0.058,0.0222,0.3917,0.2561
Base,BiGRU,0.6923,0.0918,0.852,0.939,0.0554,0.0219,0.3873,0.251
Base,ETS,-13.0419,-0.2429,-3.9476,-3.4121,0.2247,0.0119,1.6207,1.8006
Base,Prophet,-0.3159,-0.3512,-4.0477,0.6728,0.0688,0.0124,1.637,0.4904
Base,SARIMA,-14.5806,-0.005,-0.306,-0.8513,0.2367,0.0107,0.8327,1.1664
Base,TBATS,-15.9335,-0.101,-0.3761,-2.7374,0.2468,0.0112,0.8547,1.6572
Base,XGBoost,0.6891,0.1394,0.8271,0.9265,0.0559,0.0208,0.4183,0.2761
Generativo,BRITS,0.6753,0.0575,0.8395,0.932,0.0569,0.0223,0.4033,0.2651
Generativo,CSDI,0.6452,-0.0158,0.4738,0.7332,0.0595,0.0232,0.7303,0.525
Generativo,GAIN,0.5595,-0.0364,0.4428,0.7012,0.0663,0.0234,0.7515,0.5556
Generativo,SAITS,0.6562,0.08,0.7606,0.8699,0.0586,0.022,0.4925,0.3666
Generativo,VAE,0.3351,0.0416,0.8042,0.9022,0.0815,0.0225,0.4455,0.3179
