variable,ventana,w_start,nan_original,nan_residual,rellenados,tasa_cobertura
precip,1908–1917,1908,0,0,0,1.0
precip,1918–1927,1918,140,5,135,0.9643
precip,1928–1937,1928,227,12,215,0.9471
precip,1938–1947,1938,41,0,41,1.0
precip,1948–1957,1948,839,0,839,1.0
precip,1958–1967,1958,3859,2,3857,0.9995
precip,1968–1977,1968,1859,6,1853,0.9968
precip,1978–1987,1978,1347,0,1347,1.0
precip,1988–1997,1988,869,9,860,0.9896
precip,1998–2007,1998,372,2,370,0.9946
precip,2008–2017,2008,151,6,145,0.9603
precip,2018–2026,2018,983,4,979,0.9959
evap,1908–1917,1908,1648,1,1647,0.9994
evap,1918–1927,1918,1944,15,1929,0.9923
evap,1928–1937,1928,5628,6,5622,0.9989
evap,1938–1947,1938,6421,31,6390,0.9952
evap,1948–1957,1948,18948,19,18929,0.999
evap,1958–1967,1958,66890,81,66809,0.9988
evap,1968–1977,1968,122515,205,122310,0.9983
evap,1978–1987,1978,102143,86,102057,0.9992
evap,1988–1997,1988,70678,105,70573,0.9985
evap,1998–2007,1998,69380,93,69287,0.9987
evap,2008–2017,2008,56764,45,56719,0.9992
evap,2018–2026,2018,104244,202,104042,0.9981
tmax,1908–1917,1908,75,0,75,1.0
tmax,1918–1927,1918,234,8,226,0.9658
tmax,1928–1937,1928,234,0,234,1.0
tmax,1938–1947,1938,3608,9,3599,0.9975
tmax,1948–1957,1948,9162,12,9150,0.9987
tmax,1958–1967,1958,29529,22,29507,0.9993
tmax,1968–1977,1968,39365,67,39298,0.9983
tmax,1978–1987,1978,24235,38,24197,0.9984
tmax,1988–1997,1988,3093,22,3071,0.9929
tmax,1998–2007,1998,1217,33,1184,0.9729
tmax,2008–2017,2008,999,2,997,0.998
tmax,2018–2026,2018,1427,6,1421,0.9958
tmin,1908–1917,1908,75,0,75,1.0
tmin,1918–1927,1918,234,8,226,0.9658
tmin,1928–1937,1928,234,0,234,1.0
tmin,1938–1947,1938,3608,9,3599,0.9975
tmin,1948–1957,1948,9162,12,9150,0.9987
tmin,1958–1967,1958,29529,22,29507,0.9993
tmin,1968–1977,1968,39365,67,39298,0.9983
tmin,1978–1987,1978,24235,38,24197,0.9984
tmin,1988–1997,1988,3093,22,3071,0.9929
tmin,1998–2007,1998,1217,33,1184,0.9729
tmin,2008–2017,2008,999,2,997,0.998
tmin,2018–2026,2018,1427,6,1421,0.9958
