variable,ventana,w_start,w_end,n,psi,psi_nivel,ks_stat,ks_p,ks_result
precip,1908–1917,1908,1917,1648,0.007597,OK,0.06334,4e-06,WARNING
precip,1918–1927,1918,1927,1939,0.008923,OK,0.074717,0.0,WARNING
precip,1928–1937,1928,1937,5622,0.001948,OK,0.042904,0.0,WARNING
precip,1938–1947,1938,1947,8935,0.004017,OK,0.045516,0.0,WARNING
precip,1948–1957,1948,1957,30982,0.001403,OK,0.026024,0.0,WARNING
precip,1958–1967,1958,1967,182859,0.004218,OK,0.037261,0.0,WARNING
precip,1968–1977,1968,1977,346480,1e-06,OK,0.004482,8.8e-05,WARNING
precip,1978–1987,1978,1987,328712,8e-05,OK,0.003219,0.013764,WARNING
precip,1988–1997,1988,1997,211051,3e-06,OK,0.013381,0.0,WARNING
precip,1998–2007,1998,2007,196370,0.000679,OK,0.013759,0.0,WARNING
precip,2008–2017,2008,2017,156133,1.8e-05,OK,0.00559,0.000494,WARNING
precip,2018–2026,2018,2026,145061,0.002456,OK,0.019681,0.0,WARNING
evap,1908–1917,1908,1917,1647,3.897948,CRITICAL,0.23953,0.0,WARNING
evap,1918–1927,1918,1927,1929,1.02495,CRITICAL,0.203988,0.0,WARNING
evap,1928–1937,1928,1937,5628,1.054751,CRITICAL,0.222406,0.0,WARNING
evap,1938–1947,1938,1947,8904,0.295058,CRITICAL,0.153725,0.0,WARNING
evap,1948–1957,1948,1957,30963,0.267663,CRITICAL,0.16581,0.0,WARNING
evap,1958–1967,1958,1967,182780,0.074833,OK,0.050779,0.0,WARNING
evap,1968–1977,1968,1977,346281,0.018508,OK,0.02418,0.0,WARNING
evap,1978–1987,1978,1987,328626,0.002014,OK,0.02088,0.0,WARNING
evap,1988–1997,1988,1997,210955,0.020353,OK,0.030976,0.0,WARNING
evap,1998–2007,1998,2007,196279,0.027649,OK,0.067495,0.0,WARNING
evap,2008–2017,2008,2017,156094,0.034506,OK,0.058161,0.0,WARNING
evap,2018–2026,2018,2026,144863,0.24895,CRITICAL,0.181009,0.0,WARNING
tmax,1908–1917,1908,1917,1648,0.464839,CRITICAL,0.210918,0.0,WARNING
tmax,1918–1927,1918,1927,1936,0.124622,WARNING,0.140244,0.0,WARNING
tmax,1928–1937,1928,1937,5634,0.100002,WARNING,0.139719,0.0,WARNING
tmax,1938–1947,1938,1947,8926,0.359452,CRITICAL,0.152867,0.0,WARNING
tmax,1948–1957,1948,1957,30970,0.234336,CRITICAL,0.121967,0.0,WARNING
tmax,1958–1967,1958,1967,182839,0.055656,OK,0.054266,0.0,WARNING
tmax,1968–1977,1968,1977,346419,0.02286,OK,0.053985,0.0,WARNING
tmax,1978–1987,1978,1987,328674,0.000719,OK,0.013611,0.0,WARNING
tmax,1988–1997,1988,1997,211038,0.029567,OK,0.059076,0.0,WARNING
tmax,1998–2007,1998,2007,196339,0.042643,OK,0.068713,0.0,WARNING
tmax,2008–2017,2008,2017,156137,0.047201,OK,0.090198,0.0,WARNING
tmax,2018–2026,2018,2026,145059,0.130075,WARNING,0.144777,0.0,WARNING
tmin,1908–1917,1908,1917,1648,0.285674,CRITICAL,0.104305,0.0,WARNING
tmin,1918–1927,1918,1927,1936,0.277594,CRITICAL,0.170155,0.0,WARNING
tmin,1928–1937,1928,1937,5634,0.184692,WARNING,0.132763,0.0,WARNING
tmin,1938–1947,1938,1947,8926,0.576172,CRITICAL,0.225439,0.0,WARNING
tmin,1948–1957,1948,1957,30970,0.205254,CRITICAL,0.121941,0.0,WARNING
tmin,1958–1967,1958,1967,182839,0.050722,OK,0.049953,0.0,WARNING
tmin,1968–1977,1968,1977,346419,0.013839,OK,0.040353,0.0,WARNING
tmin,1978–1987,1978,1987,328674,0.001916,OK,0.009524,0.0,WARNING
tmin,1988–1997,1988,1997,211038,0.023191,OK,0.054772,0.0,WARNING
tmin,1998–2007,1998,2007,196339,0.031654,OK,0.045213,0.0,WARNING
tmin,2008–2017,2008,2017,156137,0.029744,OK,0.054837,0.0,WARNING
tmin,2018–2026,2018,2026,145059,0.040507,OK,0.052317,0.0,WARNING
