modelo,variable,lag,acf,pacf
BRITS-opt,precip,0,1.0,1.0
BRITS-opt,precip,1,0.16988,0.16988
BRITS-opt,precip,2,0.09303,0.06608
BRITS-opt,precip,3,0.07997,0.05583
BRITS-opt,precip,4,0.09132,0.06652
BRITS-opt,precip,5,0.07497,0.04309
BRITS-opt,precip,6,0.088,0.05827
BRITS-opt,precip,7,0.07977,0.04395
BRITS-opt,precip,8,0.07395,0.03742
BRITS-opt,precip,9,0.07601,0.0399
BRITS-opt,precip,10,0.07249,0.03371
BRITS-opt,precip,11,0.08402,0.04598
BRITS-opt,precip,12,0.07704,0.03415
BRITS-opt,precip,13,0.0803,0.03784
BRITS-opt,precip,14,0.09349,0.0501
BRITS-opt,precip,15,0.10426,0.05608
BRITS-opt,precip,16,0.12067,0.06944
BRITS-opt,precip,17,0.11479,0.05637
BRITS-opt,precip,18,0.088,0.02668
BRITS-opt,precip,19,0.10659,0.05161
BRITS-opt,precip,20,0.07916,0.01575
BRITS-opt,evap,0,1.0,1.0
BRITS-opt,evap,1,0.12502,0.12502
BRITS-opt,evap,2,0.05877,0.04382
BRITS-opt,evap,3,0.04646,0.03456
BRITS-opt,evap,4,0.06976,0.05873
BRITS-opt,evap,5,0.06873,0.05106
BRITS-opt,evap,6,0.04012,0.01965
BRITS-opt,evap,7,0.01565,-0.00077
BRITS-opt,evap,8,0.06206,0.05148
BRITS-opt,evap,9,0.00992,-0.01242
BRITS-opt,evap,10,0.04148,0.0309
BRITS-opt,evap,11,0.0542,0.04025
BRITS-opt,evap,12,0.04674,0.02679
BRITS-opt,evap,13,0.03798,0.01868
BRITS-opt,evap,14,0.02806,0.01046
BRITS-opt,evap,15,0.02819,0.0116
BRITS-opt,evap,16,0.03377,0.01365
BRITS-opt,evap,17,0.01556,-0.00039
BRITS-opt,evap,18,0.05107,0.03806
BRITS-opt,evap,19,0.04049,0.02052
BRITS-opt,evap,20,0.03997,0.02151
BRITS-opt,tmax,0,1.0,1.0
BRITS-opt,tmax,1,0.09841,0.09841
BRITS-opt,tmax,2,-0.00265,-0.01245
BRITS-opt,tmax,3,0.03335,0.03519
BRITS-opt,tmax,4,-0.00346,-0.01042
BRITS-opt,tmax,5,-0.00309,-0.00109
BRITS-opt,tmax,6,0.01155,0.0108
BRITS-opt,tmax,7,0.02158,0.01999
BRITS-opt,tmax,8,-0.01265,-0.01663
BRITS-opt,tmax,9,-0.004,-0.00144
BRITS-opt,tmax,10,0.01085,0.00993
BRITS-opt,tmax,11,0.00525,0.00452
BRITS-opt,tmax,12,0.00037,-0.00039
BRITS-opt,tmax,13,0.00225,0.0011
BRITS-opt,tmax,14,-0.00841,-0.00921
BRITS-opt,tmax,15,-0.00151,0.00111
BRITS-opt,tmax,16,-0.01524,-0.01594
BRITS-opt,tmax,17,0.02192,0.02534
BRITS-opt,tmax,18,0.00422,-0.00087
BRITS-opt,tmax,19,0.0049,0.00633
BRITS-opt,tmax,20,0.04839,0.04607
BRITS-opt,tmin,0,1.0,1.0
BRITS-opt,tmin,1,0.10637,0.10637
BRITS-opt,tmin,2,-0.00137,-0.01284
BRITS-opt,tmin,3,0.01859,0.02034
BRITS-opt,tmin,4,0.00133,-0.0029
BRITS-opt,tmin,5,-0.01715,-0.01688
BRITS-opt,tmin,6,0.01314,0.01663
BRITS-opt,tmin,7,0.03643,0.03336
BRITS-opt,tmin,8,0.01511,0.00864
BRITS-opt,tmin,9,-0.0058,-0.0084
BRITS-opt,tmin,10,0.01518,0.01548
BRITS-opt,tmin,11,0.01967,0.01654
BRITS-opt,tmin,12,0.00256,0.00028
BRITS-opt,tmin,13,-0.00192,-0.003
BRITS-opt,tmin,14,0.01006,0.00829
BRITS-opt,tmin,15,0.02452,0.02271
BRITS-opt,tmin,16,0.02046,0.01658
BRITS-opt,tmin,17,-0.00219,-0.00741
BRITS-opt,tmin,18,0.00515,0.00391
BRITS-opt,tmin,19,0.03374,0.03266
BRITS-opt,tmin,20,0.00953,0.00371
SAITS-opt,precip,0,1.0,1.0
SAITS-opt,precip,1,0.14338,0.14338
SAITS-opt,precip,2,0.06567,0.04606
SAITS-opt,precip,3,0.05451,0.03982
SAITS-opt,precip,4,0.06413,0.0496
SAITS-opt,precip,5,0.04128,0.02194
SAITS-opt,precip,6,0.05818,0.04351
SAITS-opt,precip,7,0.05041,0.03046
SAITS-opt,precip,8,0.0498,0.03028
SAITS-opt,precip,9,0.05173,0.03203
SAITS-opt,precip,10,0.03974,0.01753
