modelo,fold,variable,stat_orig,p_orig,stat_imp,p_imp,preserva_estacionariedad
BRITS-opt,F1,precip,0.3127,0.1,1.1014,0.01,False
BRITS-opt,F1,evap,0.2134,0.1,0.2095,0.1,True
BRITS-opt,F1,tmax,0.7079,0.0128,0.7208,0.0117,True
BRITS-opt,F1,tmin,0.3187,0.1,0.3189,0.1,True
BRITS-opt,F2,precip,0.3127,0.1,1.1014,0.01,False
BRITS-opt,F2,evap,0.2134,0.1,0.2095,0.1,True
BRITS-opt,F2,tmax,0.7079,0.0128,0.7208,0.0117,True
BRITS-opt,F2,tmin,0.3187,0.1,0.3189,0.1,True
BRITS-opt,F3,precip,0.3127,0.1,1.1014,0.01,False
BRITS-opt,F3,evap,0.2134,0.1,0.2095,0.1,True
BRITS-opt,F3,tmax,0.7079,0.0128,0.7208,0.0117,True
BRITS-opt,F3,tmin,0.3187,0.1,0.3189,0.1,True
BRITS-opt,F4,precip,0.3127,0.1,1.1014,0.01,False
BRITS-opt,F4,evap,0.2134,0.1,0.2095,0.1,True
BRITS-opt,F4,tmax,0.7079,0.0128,0.7208,0.0117,True
BRITS-opt,F4,tmin,0.3187,0.1,0.3189,0.1,True
SAITS-opt,F1,precip,0.3127,0.1,0.6949,0.014,False
SAITS-opt,F1,evap,0.2134,0.1,0.1948,0.1,True
SAITS-opt,F1,tmax,0.7079,0.0128,0.7294,0.0109,True
SAITS-opt,F1,tmin,0.3187,0.1,0.3276,0.1,True
SAITS-opt,F2,precip,0.3127,0.1,0.6949,0.014,False
SAITS-opt,F2,evap,0.2134,0.1,0.1948,0.1,True
SAITS-opt,F2,tmax,0.7079,0.0128,0.7294,0.0109,True
SAITS-opt,F2,tmin,0.3187,0.1,0.3276,0.1,True
SAITS-opt,F3,precip,0.3127,0.1,0.6949,0.014,False
SAITS-opt,F3,evap,0.2134,0.1,0.1948,0.1,True
SAITS-opt,F3,tmax,0.7079,0.0128,0.7294,0.0109,True
SAITS-opt,F3,tmin,0.3187,0.1,0.3276,0.1,True
SAITS-opt,F4,precip,0.3127,0.1,0.6949,0.014,False
SAITS-opt,F4,evap,0.2134,0.1,0.1948,0.1,True
SAITS-opt,F4,tmax,0.7079,0.0128,0.7294,0.0109,True
SAITS-opt,F4,tmin,0.3187,0.1,0.3276,0.1,True
XGBoost-opt,F1,precip,0.3226,0.1,0.4794,0.0463,False
XGBoost-opt,F1,evap,0.3254,0.1,0.4829,0.0455,False
XGBoost-opt,F1,tmax,0.3758,0.0876,0.3309,0.1,True
XGBoost-opt,F1,tmin,1.0313,0.01,0.9568,0.01,True
XGBoost-opt,F2,precip,0.8757,0.01,1.1483,0.01,True
XGBoost-opt,F2,evap,0.9373,0.01,0.9546,0.01,True
XGBoost-opt,F2,tmax,0.2709,0.1,0.3456,0.1,True
XGBoost-opt,F2,tmin,0.6037,0.0223,0.572,0.0254,True
XGBoost-opt,F3,precip,1.3137,0.01,0.4873,0.0445,True
XGBoost-opt,F3,evap,1.3003,0.01,1.2538,0.01,True
XGBoost-opt,F3,tmax,1.8386,0.01,1.6824,0.01,True
XGBoost-opt,F3,tmin,1.1908,0.01,1.0009,0.01,True
XGBoost-opt,F4,precip,1.2132,0.01,0.1219,0.1,False
XGBoost-opt,F4,evap,0.1889,0.1,0.1215,0.1,True
XGBoost-opt,F4,tmax,0.3838,0.0841,0.2214,0.1,True
XGBoost-opt,F4,tmin,0.1113,0.1,0.1001,0.1,True
BiGRU-opt,F1,precip,0.3127,0.1,1.4058,0.01,False
BiGRU-opt,F1,evap,0.2134,0.1,0.2377,0.1,True
BiGRU-opt,F1,tmax,0.7079,0.0128,0.7206,0.0117,True
BiGRU-opt,F1,tmin,0.3187,0.1,0.3325,0.1,True
BiGRU-opt,F2,precip,0.3127,0.1,1.4058,0.01,False
BiGRU-opt,F2,evap,0.2134,0.1,0.2377,0.1,True
BiGRU-opt,F2,tmax,0.7079,0.0128,0.7206,0.0117,True
BiGRU-opt,F2,tmin,0.3187,0.1,0.3325,0.1,True
BiGRU-opt,F3,precip,0.3127,0.1,1.4058,0.01,False
BiGRU-opt,F3,evap,0.2134,0.1,0.2377,0.1,True
BiGRU-opt,F3,tmax,0.7079,0.0128,0.7206,0.0117,True
BiGRU-opt,F3,tmin,0.3187,0.1,0.3325,0.1,True
BiGRU-opt,F4,precip,0.3127,0.1,1.4058,0.01,False
BiGRU-opt,F4,evap,0.2134,0.1,0.2377,0.1,True
BiGRU-opt,F4,tmax,0.7079,0.0128,0.7206,0.0117,True
BiGRU-opt,F4,tmin,0.3187,0.1,0.3325,0.1,True
