fold,variable,rmse,mae,r2,nse,modelo
F1,precip,0.02224,0.00949,0.0035,0.0035,BRITS-opt
F1,evap,0.05852,0.04309,0.6613,0.6613,BRITS-opt
F1,tmax,0.42491,0.30445,0.8415,0.8415,BRITS-opt
F1,tmin,0.2907,0.2113,0.9114,0.9114,BRITS-opt
F2,precip,0.0229,0.0093,0.0012,0.0012,BRITS-opt
F2,evap,0.0571,0.04206,0.6846,0.6846,BRITS-opt
F2,tmax,0.41643,0.29839,0.8348,0.8348,BRITS-opt
F2,tmin,0.28462,0.20572,0.9206,0.9206,BRITS-opt
F3,precip,0.02303,0.00905,0.0023,0.0023,BRITS-opt
F3,evap,0.05818,0.04188,0.6624,0.6624,BRITS-opt
F3,tmax,0.40923,0.29247,0.8321,0.8321,BRITS-opt
F3,tmin,0.27733,0.19929,0.9227,0.9227,BRITS-opt
F4,precip,0.02203,0.00884,0.0031,0.0031,BRITS-opt
F4,evap,0.05898,0.04204,0.6496,0.6496,BRITS-opt
F4,tmax,0.40885,0.29297,0.8327,0.8327,BRITS-opt
F4,tmin,0.27651,0.19915,0.9262,0.9262,BRITS-opt
F1,precip,0.02261,0.00907,-0.0297,-0.0297,SAITS-opt
F1,evap,0.05914,0.04274,0.6541,0.6541,SAITS-opt
F1,tmax,0.41238,0.29266,0.8507,0.8507,SAITS-opt
F1,tmin,0.27532,0.20067,0.9205,0.9205,SAITS-opt
F2,precip,0.02312,0.00899,-0.0177,-0.0177,SAITS-opt
F2,evap,0.05761,0.04213,0.679,0.679,SAITS-opt
F2,tmax,0.40229,0.28656,0.8459,0.8459,SAITS-opt
F2,tmin,0.26734,0.19414,0.9299,0.9299,SAITS-opt
F3,precip,0.02323,0.00871,-0.0153,-0.0153,SAITS-opt
F3,evap,0.05927,0.04228,0.6496,0.6496,SAITS-opt
F3,tmax,0.3959,0.28142,0.8429,0.8429,SAITS-opt
F3,tmin,0.26089,0.18844,0.9316,0.9316,SAITS-opt
F4,precip,0.02221,0.0085,-0.0131,-0.0131,SAITS-opt
F4,evap,0.06039,0.04265,0.6327,0.6327,SAITS-opt
F4,tmax,0.39638,0.28251,0.8427,0.8427,SAITS-opt
F4,tmin,0.25998,0.1882,0.9348,0.9348,SAITS-opt
F1,precip,0.02172,0.00911,0.0493,0.0493,BiGRU-opt
F1,evap,0.05989,0.04445,0.6453,0.6453,BiGRU-opt
F1,tmax,0.41029,0.29127,0.8522,0.8522,BiGRU-opt
F1,tmin,0.27149,0.19672,0.9227,0.9227,BiGRU-opt
F2,precip,0.02225,0.00899,0.0576,0.0576,BiGRU-opt
F2,evap,0.05832,0.0437,0.6709,0.6709,BiGRU-opt
F2,tmax,0.40016,0.28483,0.8475,0.8475,BiGRU-opt
F2,tmin,0.26378,0.18986,0.9318,0.9318,BiGRU-opt
F3,precip,0.02237,0.00866,0.058,0.058,BiGRU-opt
F3,evap,0.05957,0.04367,0.6461,0.6461,BiGRU-opt
F3,tmax,0.39429,0.28031,0.8442,0.8442,BiGRU-opt
F3,tmin,0.25727,0.18404,0.9334,0.9334,BiGRU-opt
F4,precip,0.0214,0.00846,0.0595,0.0595,BiGRU-opt
F4,evap,0.06074,0.04421,0.6284,0.6284,BiGRU-opt
F4,tmax,0.39469,0.28112,0.8441,0.8441,BiGRU-opt
F4,tmin,0.25659,0.18408,0.9364,0.9364,BiGRU-opt
F1,precip,0.0212,0.00815,0.0604,0.0604,XGBoost-opt
F1,evap,0.05504,0.03919,0.695,0.695,XGBoost-opt
F1,tmax,0.42762,0.29544,0.8217,0.8217,XGBoost-opt
F1,tmin,0.30583,0.21561,0.9154,0.9154,XGBoost-opt
F2,precip,0.02441,0.00935,0.019,0.019,XGBoost-opt
F2,evap,0.05622,0.04007,0.6732,0.6732,XGBoost-opt
F2,tmax,0.44298,0.32573,0.8263,0.8263,XGBoost-opt
F2,tmin,0.29213,0.2146,0.9044,0.9044,XGBoost-opt
F3,precip,0.02034,0.00778,0.0098,0.0098,XGBoost-opt
F3,evap,0.05388,0.03862,0.7422,0.7422,XGBoost-opt
F3,tmax,0.43113,0.31495,0.8367,0.8367,XGBoost-opt
F3,tmin,0.29057,0.20984,0.9303,0.9303,XGBoost-opt
F4,precip,0.02201,0.0079,0.0419,0.0419,XGBoost-opt
F4,evap,0.06097,0.03973,0.5941,0.5941,XGBoost-opt
F4,tmax,0.41469,0.30187,0.811,0.811,XGBoost-opt
F4,tmin,0.27161,0.19511,0.9282,0.9282,XGBoost-opt
