modelo,nse,rmse,cv_nse,kpss,comp,s_nse,s_rmse,s_estab,s_kpss,s_comp,score_total
XGBoost,0.6455,0.1927,0.15,1.0,0.7,1.0,0.9812398042414355,0.0,1.0,0.7,0.7653099510603588
BiGRU,0.6438,0.1789,0.15,1.0,0.6,0.9997072297041297,1.0,0.0,1.0,0.6,0.7599121689112389
BiLSTM,0.6362,0.1801,0.15,1.0,0.55,0.9983983742637688,0.99836867862969,0.0,1.0,0.55,0.7541116819365532
Autoencoder,0.6286,0.182,0.15,1.0,0.5,0.9970895188234078,0.9957857531266993,0.0,1.0,0.5,0.7480732939286973
BRITS,0.6261,0.1869,0.15,1.0,0.4,0.9966589742706575,0.9891245241979336,0.0,1.0,0.4,0.7362788233306807
BiGRU-opt,0.6205,0.1859,0.0074,0.75,0.58,0.9956945544724968,0.9904839586731919,0.9854872149274361,0.0,0.58,0.8014267989955344
XGBoost-opt,0.6131,0.1994,0.0267,0.8125,0.68,0.9944201425963559,0.972131593257205,0.852107809260539,0.25,0.68,0.8172805029453158
BRITS-opt,0.6056,0.1945,0.0053,0.75,0.38,0.9931285089381049,0.9787928221859706,1.0,0.0,0.38,0.7806367582279241
SAITS-opt,0.6024,0.1874,0.008,0.75,0.33,0.9925774119105846,0.9884448069603045,0.9813407049067036,0.0,0.33,0.7741525662945922
SAITS,0.5917,0.235,0.15,1.0,0.35,0.9907346812248131,0.9237357259380098,0.0,1.0,0.35,0.7131543358519464
VAE,0.5208,0.2168,0.15,1.0,0.45,0.9785244377088141,0.9484774333877107,0.0,1.0,0.45,0.725676689659572
CSDI,0.4591,0.3345,0.15,1.0,0.2,0.9678985981469362,0.7884719956498096,0.0,1.0,0.2,0.6574875783565333
GAIN,0.4168,0.3492,0.15,1.0,0.4,0.9606137843144009,0.7684883088635128,0.0,1.0,0.4,0.6703062125101985
Prophet,-1.0105,0.5521,0.15,1.0,0.9,0.7148072882581891,0.4926590538336052,0.0,1.0,0.9,0.577606949935858
SARIMA,-3.9357,0.5616,0.15,1.0,0.95,0.21103571797609616,0.47974442631865144,0.0,1.0,0.95,0.42824682197249164
TBATS,-4.787,0.6925,0.15,1.0,0.9,0.06442668687355772,0.3017944535073409,0.0,1.0,0.9,0.3347766194389026
ETS,-5.1611,0.9145,0.15,1.0,0.95,0.0,0.0,0.0,1.0,0.95,0.245
