modelo,familia,rmse,mae,nse,r2
XGBoost,Base,0.1927,0.1364,0.6455,0.6455
BiGRU,Base,0.1789,0.1253,0.6438,0.6438
BiLSTM,Base,0.1801,0.1265,0.6362,0.6362
Autoencoder,Base,0.182,0.128,0.6286,0.6286
BRITS,Generativo,0.1869,0.1317,0.6261,0.6261
BiGRU-opt,Optimizado,0.1859,0.1315,0.6205,0.6205
XGBoost-opt,Optimizado,0.1994,0.1415,0.6131,0.6131
BRITS-opt,Optimizado,0.1945,0.1381,0.6056,0.6056
SAITS-opt,Optimizado,0.1874,0.1325,0.6024,0.6024
SAITS,Generativo,0.235,0.172,0.5917,0.5917
VAE,Generativo,0.2168,0.1596,0.5208,0.5208
CSDI,Generativo,0.3345,0.2582,0.4591,0.4591
GAIN,Generativo,0.3492,0.2779,0.4168,0.4168
Prophet,Base,0.5521,0.4918,-1.0105,-1.0105
SARIMA,Base,0.5616,0.4206,-3.9357,-3.9357
TBATS,Base,0.6925,0.5669,-4.787,-4.787
ETS,Base,0.9145,0.7815,-5.1611,-5.1611
