station,filas,fecha_inicio,fecha_fin,path_parquet,path_csv,missing_pct_precip,min_scaled_precip,max_scaled_precip,missing_pct_evap,min_scaled_evap,max_scaled_evap,missing_pct_tmax,min_scaled_tmax,max_scaled_tmax,missing_pct_tmin,min_scaled_tmin,max_scaled_tmin
25001,21673,1961-01-01,2026-02-28,data/processed/parquet/estacion=25001.parquet,data/processed/csv/estacion=25001.csv,0.18,0.0,0.556722,3.8,0.0,0.908982,0.04,-2.994259,2.614466,0.04,-3.095914,2.141675
25002,7853,1960-07-01,1990-04-30,data/processed/parquet/estacion=25002.parquet,data/processed/csv/estacion=25002.csv,0.08,0.0,0.302433,62.08,0.001604,0.717322,61.68,-3.402166,2.716443,61.68,-2.531866,1.980518
25003,17946,1962-07-01,2025-12-08,data/processed/parquet/estacion=25003.parquet,data/processed/csv/estacion=25003.csv,0.03,0.0,0.448143,13.02,0.003609,0.637129,0.22,-4.217981,3.634235,0.22,-2.531866,2.141675
25004,1458,1970-11-02,1974-12-31,data/processed/parquet/estacion=25004.parquet,data/processed/csv/estacion=25004.csv,0.21,0.0,0.253521,15.36,0.003609,0.681235,0.62,-3.198213,2.716443,0.62,-2.693023,1.819362
25005,6801,1962-12-17,1981-09-30,data/processed/parquet/estacion=25005.parquet,data/processed/csv/estacion=25005.csv,0.9,0.0,0.487068,13.84,0.003609,0.605052,0.03,-3.708097,2.512489,0.03,-2.693023,2.061097
25006,18750,1921-01-01,1981-01-31,data/processed/parquet/estacion=25006.parquet,data/processed/csv/estacion=25006.csv,1.33,0.0,0.396927,99.04,0.063753,0.472735,11.34,-4.727865,3.328304,11.34,-3.176493,1.980518
25007,11913,1953-07-01,1989-12-31,data/processed/parquet/estacion=25007.parquet,data/processed/csv/estacion=25007.csv,0.84,0.0,0.519846,15.77,0.003609,0.669206,13.84,-3.504143,2.81842,13.84,-3.257071,1.980518
25008,12595,1962-01-01,2000-12-31,data/processed/parquet/estacion=25008.parquet,data/processed/csv/estacion=25008.csv,0.33,0.0,0.56338,3.7,0.0,0.596231,2.36,-3.810074,2.206559,2.36,-2.693023,2.463988
25009,20861,1961-01-01,2026-02-28,data/processed/parquet/estacion=25009.parquet,data/processed/csv/estacion=25009.csv,0.26,0.0,0.59872,14.29,0.000802,0.657177,0.33,-4.421935,2.920397,0.33,-3.015336,2.38341
25010,1308,1970-11-01,1974-06-30,data/processed/parquet/estacion=25010.parquet,data/processed/csv/estacion=25010.csv,0.0,0.0,0.204866,0.31,0.007618,0.681235,0.0,-2.688329,2.308536,0.0,-1.88724,2.061097
25011,11920,1961-01-01,2001-03-31,data/processed/parquet/estacion=25011.parquet,data/processed/csv/estacion=25011.csv,0.31,0.0,0.701665,0.12,0.003609,0.617081,0.8,-4.421935,1.798652,0.8,-2.531866,1.819362
25012,11508,1908-11-01,1988-09-30,data/processed/parquet/estacion=25012.parquet,data/processed/csv/estacion=25012.csv,0.85,0.0,0.742638,93.78,0.003609,0.448677,0.87,-3.810074,2.512489,0.87,-2.531866,2.947458
25013,6026,1969-01-01,1985-08-31,data/processed/parquet/estacion=25013.parquet,data/processed/csv/estacion=25013.csv,0.53,0.0,0.427657,2.17,0.002807,0.597033,0.03,-2.790305,2.716443,0.03,-2.693023,2.061097
25014,21312,1951-01-01,2026-04-30,data/processed/parquet/estacion=25014.parquet,data/processed/csv/estacion=25014.csv,7.14,0.0,0.701665,61.91,0.001604,0.601043,2.18,-3.565329,2.614466,2.18,-2.693023,2.882995
25015,23827,1961-01-01,2026-04-30,data/processed/parquet/estacion=25015.parquet,data/processed/csv/estacion=25015.csv,0.16,0.0,0.660691,5.64,0.0,0.771451,0.41,-3.810074,2.716443,0.41,-2.37071,2.222253
25016,3843,1967-06-01,1978-05-31,data/processed/parquet/estacion=25016.parquet,data/processed/csv/estacion=25016.csv,0.39,0.0,0.361076,73.25,0.00401,0.459904,13.43,-3.198213,2.104582,13.43,-2.209553,1.980518
25017,10731,1953-01-01,1985-08-31,data/processed/parquet/estacion=25017.parquet,data/processed/csv/estacion=25017.csv,0.75,0.0,0.345711,36.49,0.001604,0.673216,0.69,-4.421935,3.12435,0.69,-2.934758,2.544567
25018,17343,1943-08-01,2025-12-08,data/processed/parquet/estacion=25018.parquet,data/processed/csv/estacion=25018.csv,0.24,0.0,0.345711,57.4,0.003609,0.673216,12.87,-4.421935,3.205932,12.87,-3.176493,3.108615
25019,21540,1953-01-01,2012-10-31,data/processed/parquet/estacion=25019.parquet,data/processed/csv/estacion=25019.csv,0.19,0.0,0.386172,13.59,0.003208,0.661187,0.47,-4.116004,3.12435,0.47,-3.901697,2.544567
25020,1840,1970-11-01,1975-12-30,data/processed/parquet/estacion=25020.parquet,data/processed/csv/estacion=25020.csv,0.05,0.0,0.204866,3.86,0.007618,0.701283,0.38,-3.30019,2.308536,0.38,-2.693023,1.738784
25021,19220,1962-11-24,2025-05-31,data/processed/parquet/estacion=25021.parquet,data/processed/csv/estacion=25021.csv,1.46,0.0,0.832266,99.77,0.0,0.704892,0.1,-4.421935,2.308536,0.1,-2.693023,2.141675
25022,16211,1969-01-01,2026-02-28,data/processed/parquet/estacion=25022.parquet,data/processed/csv/estacion=25022.csv,0.12,0.0,0.368758,18.24,0.000802,0.713312,0.07,-4.625888,2.716443,0.07,-2.854179,2.222253
25023,22174,1955-01-01,2026-03-31,data/processed/parquet/estacion=25023.parquet,data/processed/csv/estacion=25023.csv,0.18,0.0,0.416133,37.91,0.003609,0.693264,0.32,-4.523912,2.716443,0.32,-3.498806,2.141675
25024,11596,1961-01-01,1999-09-30,data/processed/parquet/estacion=25024.parquet,data/processed/csv/estacion=25024.csv,0.32,0.0,0.609475,76.91,0.003609,0.686848,76.65,-3.810074,2.104582,76.65,-2.209553,2.625145
25025,21479,1961-01-01,2026-01-31,data/processed/parquet/estacion=25025.parquet,data/processed/csv/estacion=25025.csv,0.44,0.0,0.293214,12.15,0.000401,0.689254,0.02,-4.014027,2.920397,0.02,-3.176493,1.980518
25027,8494,1962-01-01,1985-07-31,data/processed/parquet/estacion=25027.parquet,data/processed/csv/estacion=25027.csv,0.86,0.0,0.53265,2.73,0.003609,0.709302,1.26,-3.60612,2.512489,1.26,-2.854179,1.89994
25028,11990,1961-01-01,2001-03-31,data/processed/parquet/estacion=25028.parquet,data/processed/csv/estacion=25028.csv,0.33,0.0,0.585147,0.08,0.003609,0.62911,0.78,-3.810074,2.104582,0.78,-2.290131,1.89994
25029,11900,1961-01-01,2001-03-31,data/processed/parquet/estacion=25029.parquet,data/processed/csv/estacion=25029.csv,0.3,0.0,0.819462,0.04,0.001604,0.641139,0.01,-5.237749,0.472953,0.01,-2.773601,0.852422
25030,22484,1962-06-01,2025-05-31,data/processed/parquet/estacion=25030.parquet,data/processed/csv/estacion=25030.csv,0.6,0.0,0.622279,74.89,0.001604,0.872494,2.38,-4.014027,2.614466,2.38,-3.659962,3.269771
25031,11873,1961-01-01,2001-02-28,data/processed/parquet/estacion=25031.parquet,data/processed/csv/estacion=25031.csv,0.3,0.0,0.604353,0.55,0.003609,0.677225,0.28,-2.994259,1.900629,0.28,-2.693023,1.980518
25032,15183,1965-01-01,2026-01-31,data/processed/parquet/estacion=25032.parquet,data/processed/csv/estacion=25032.csv,0.57,0.0,0.399488,20.92,0.003609,0.673216,5.63,-3.708097,2.716443,5.63,-2.451288,2.141675
25033,22847,1961-01-01,2026-03-31,data/processed/parquet/estacion=25033.parquet,data/processed/csv/estacion=25033.csv,0.35,0.0,0.466069,2.18,0.000802,0.713312,0.2,-4.217981,2.920397,0.2,-2.451288,2.463988
25035,4136,1970-10-01,1983-02-28,data/processed/parquet/estacion=25035.parquet,data/processed/csv/estacion=25035.csv,0.0,0.0,0.258643,0.05,0.003609,0.62911,0.0,-4.014027,2.002605,0.0,-3.257071,2.061097
25036,14739,1961-01-01,2025-05-31,data/processed/parquet/estacion=25036.parquet,data/processed/csv/estacion=25036.csv,0.07,0.0,0.491677,100.0,,,0.33,-3.60612,2.308536,0.33,-2.37071,1.658205
25037,24959,1953-01-01,2025-11-30,data/processed/parquet/estacion=25037.parquet,data/processed/csv/estacion=25037.csv,0.18,0.0,0.514469,1.78,0.001203,0.718925,0.18,-3.912051,2.716443,0.18,-2.773601,2.141675
25038,19680,1969-01-15,2025-03-31,data/processed/parquet/estacion=25038.parquet,data/processed/csv/estacion=25038.csv,1.11,0.0,0.622279,68.66,0.003609,0.657177,0.97,-4.014027,2.716443,0.97,-2.773601,2.38341
25039,5912,1969-01-15,1985-12-31,data/processed/parquet/estacion=25039.parquet,data/processed/csv/estacion=25039.csv,0.27,0.0,0.588476,29.23,0.003609,0.657177,12.65,-4.014027,2.104582,12.65,-2.531866,1.980518
25040,1247,1970-11-01,1974-04-30,data/processed/parquet/estacion=25040.parquet,data/processed/csv/estacion=25040.csv,0.0,0.0,0.051216,0.16,0.011628,0.320369,0.16,-3.198213,1.900629,0.16,-2.531866,1.819362
25041,22189,1964-01-01,2026-04-30,data/processed/parquet/estacion=25041.parquet,data/processed/csv/estacion=25041.csv,0.43,0.0,0.445583,69.57,0.001604,0.665196,1.7,-4.014027,2.920397,1.7,-2.612445,2.141675
25042,20122,1962-03-01,2026-01-31,data/processed/parquet/estacion=25042.parquet,data/processed/csv/estacion=25042.csv,0.34,0.0,0.760563,23.59,0.003609,0.594627,0.04,-4.014027,2.410513,0.04,-2.451288,2.141675
25043,11564,1961-01-01,2001-02-28,data/processed/parquet/estacion=25043.parquet,data/processed/csv/estacion=25043.csv,0.8,0.0,0.640205,71.06,0.001203,0.572975,71.59,-4.014027,3.12435,71.59,-3.015336,1.819362
25044,22791,1961-01-01,2025-03-31,data/processed/parquet/estacion=25044.parquet,data/processed/csv/estacion=25044.csv,0.37,0.0,0.463508,18.45,0.003609,0.697273,0.14,-6.155541,3.736211,0.14,-3.740541,2.141675
25045,22873,1961-01-01,2026-03-31,data/processed/parquet/estacion=25045.parquet,data/processed/csv/estacion=25045.csv,0.14,0.0,0.834571,11.76,0.000401,1.0,1.15,-3.60612,2.716443,1.15,-2.612445,1.980518
25046,29259,1942-01-01,2026-01-31,data/processed/parquet/estacion=25046.parquet,data/processed/csv/estacion=25046.csv,0.96,0.0,0.898848,4.48,0.0,0.717322,1.73,-4.319958,3.328304,1.73,-3.257071,1.980518
25047,5928,1972-03-09,1988-07-31,data/processed/parquet/estacion=25047.parquet,data/processed/csv/estacion=25047.csv,1.05,0.0,0.512164,100.0,,,0.02,-4.217981,1.492721,0.02,-2.048396,1.174735
25048,4948,1969-01-08,1982-08-31,data/processed/parquet/estacion=25048.parquet,data/processed/csv/estacion=25048.csv,0.0,0.0,0.514725,2.43,0.027666,0.641139,16.73,-2.994259,2.410513,16.73,-2.37071,2.141675
25049,22819,1961-01-01,2025-05-31,data/processed/parquet/estacion=25049.parquet,data/processed/csv/estacion=25049.csv,0.14,0.0,0.588988,15.7,0.000401,0.621091,0.01,-4.014027,2.512489,0.01,-2.531866,2.302832
25050,18284,1969-01-01,2025-07-31,data/processed/parquet/estacion=25050.parquet,data/processed/csv/estacion=25050.csv,0.28,0.0,0.84507,23.45,0.003609,0.914595,0.13,-4.217981,1.900629,0.13,-3.015336,2.625145
25052,10706,1963-01-01,2001-02-28,data/processed/parquet/estacion=25052.parquet,data/processed/csv/estacion=25052.csv,0.44,0.0,0.548015,58.28,0.003609,0.705293,54.93,-3.585725,3.328304,54.93,-2.854179,2.302832
25053,9144,1961-02-01,1998-12-31,data/processed/parquet/estacion=25053.parquet,data/processed/csv/estacion=25053.csv,0.25,0.0,0.604353,4.66,0.003609,0.613071,9.15,-3.402166,2.512489,9.15,-3.095914,1.89994
25054,9923,1961-01-01,2001-03-31,data/processed/parquet/estacion=25054.parquet,data/processed/csv/estacion=25054.csv,1.24,0.0,0.81178,70.1,0.003609,0.609062,72.11,-3.483748,3.328304,72.11,-2.451288,1.89994
25055,13487,1961-01-01,1999-01-31,data/processed/parquet/estacion=25055.parquet,data/processed/csv/estacion=25055.csv,0.85,0.0,0.313444,0.3,0.003609,0.677225,0.14,-4.116004,2.410513,0.14,-2.854179,2.302832
25056,11744,1970-07-01,2005-05-31,data/processed/parquet/estacion=25056.parquet,data/processed/csv/estacion=25056.csv,1.06,0.0,0.546735,3.32,0.0,0.597033,0.69,-2.994259,3.328304,0.69,-2.693023,2.463988
25057,1308,1970-11-01,1974-06-30,data/processed/parquet/estacion=25057.parquet,data/processed/csv/estacion=25057.csv,0.0,0.0,0.37644,0.31,0.011628,0.601043,0.0,-2.892282,1.798652,0.0,-2.048396,1.819362
25058,6459,1963-08-01,1981-11-30,data/processed/parquet/estacion=25058.parquet,data/processed/csv/estacion=25058.csv,0.63,0.0,0.645327,2.17,0.003609,0.633119,0.7,-2.994259,1.594698,0.7,-2.531866,1.819362
25059,5985,1970-10-01,1990-12-31,data/processed/parquet/estacion=25059.parquet,data/processed/csv/estacion=25059.csv,0.0,0.0,0.233035,0.05,0.003609,0.62911,2.02,-4.523912,3.022374,2.02,-2.693023,1.89994
25060,2039,1970-11-01,1981-12-31,data/processed/parquet/estacion=25060.parquet,data/processed/csv/estacion=25060.csv,3.04,0.0,0.322663,1.13,0.001604,0.701283,0.0,-3.402166,2.104582,0.0,-2.693023,1.980518
25061,5184,1971-01-19,1985-08-31,data/processed/parquet/estacion=25061.parquet,data/processed/csv/estacion=25061.csv,0.04,0.0,0.266325,0.27,0.005613,0.540898,3.7,-4.116004,2.308536,3.7,-3.498806,1.980518
25062,19123,1933-02-06,2025-01-10,data/processed/parquet/estacion=25062.parquet,data/processed/csv/estacion=25062.csv,8.18,0.0,0.876312,73.56,0.000401,0.706897,10.75,-3.585725,3.307909,10.75,-2.693023,3.011921
25063,5539,1970-11-01,1985-12-31,data/processed/parquet/estacion=25063.parquet,data/processed/csv/estacion=25063.csv,0.61,0.0,0.332907,87.9,0.039695,0.721331,0.04,-3.810074,1.900629,0.04,-2.693023,2.141675
25064,18936,1969-01-01,2025-05-31,data/processed/parquet/estacion=25064.parquet,data/processed/csv/estacion=25064.csv,0.22,0.0,0.640205,100.0,,,0.24,-4.829842,2.512489,0.24,-3.337649,2.463988
25065,13966,1963-08-01,2024-12-31,data/processed/parquet/estacion=25065.parquet,data/processed/csv/estacion=25065.csv,0.5,0.0,0.352113,21.72,0.0,0.645148,13.88,-4.523912,3.430281,13.88,-2.531866,3.269771
25066,11661,1961-01-01,2001-03-31,data/processed/parquet/estacion=25066.parquet,data/processed/csv/estacion=25066.csv,0.81,0.0,0.307298,53.11,0.001203,0.6251,57.33,-3.198213,3.12435,57.33,-3.015336,3.108615
25068,8758,1961-01-01,1985-08-31,data/processed/parquet/estacion=25068.parquet,data/processed/csv/estacion=25068.csv,0.03,0.0,0.349552,0.14,0.000802,0.681235,0.06,-4.829842,3.430281,0.06,-2.451288,2.141675
25069,9500,1961-01-01,1988-08-31,data/processed/parquet/estacion=25069.parquet,data/processed/csv/estacion=25069.csv,1.07,0.0,0.896287,12.33,0.002005,0.661187,2.03,-4.625888,2.716443,2.03,-2.693023,2.222253
25070,7033,1962-11-25,1983-06-30,data/processed/parquet/estacion=25070.parquet,data/processed/csv/estacion=25070.csv,0.03,0.0,0.768246,99.18,0.019647,0.087811,1.75,-3.810074,2.104582,1.75,-1.40377,1.980518
25071,16792,1961-11-01,2009-08-31,data/processed/parquet/estacion=25071.parquet,data/processed/csv/estacion=25071.csv,0.91,0.0,0.827145,12.42,0.002005,0.693264,0.27,-3.504143,2.512489,0.27,-2.499635,2.302832
25072,7299,1971-01-01,2001-03-31,data/processed/parquet/estacion=25072.parquet,data/processed/csv/estacion=25072.csv,0.07,0.0,0.435339,0.01,0.001604,0.684042,0.05,-3.402166,2.308536,0.05,-2.531866,1.819362
25073,8100,1963-06-01,1988-08-31,data/processed/parquet/estacion=25073.parquet,data/processed/csv/estacion=25073.csv,0.41,0.0,0.527785,99.62,0.043705,0.083801,0.15,-3.810074,1.492721,0.15,-1.88724,1.174735
25074,19177,1969-01-01,2025-06-30,data/processed/parquet/estacion=25074.parquet,data/processed/csv/estacion=25074.csv,0.37,0.0,0.742638,99.34,0.0,0.320369,0.16,-4.625888,3.12435,0.16,-3.015336,1.497049
