station,year,variable,tipo_scaler,filas,valores_validos,missing_pct,valor_min_scaled,valor_max_scaled,valor_mean_scaled,path_parquet_scaled
25074,1969,precip,MinMaxScaler,365,365,0.0,0.0,0.189501,0.008828,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1969/precip.parquet
25074,1969,evap,MinMaxScaler,365,0,100.0,,,,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1969/evap.parquet
25074,1969,tmax,StandardScaler,365,353,3.288,-4.421935,-0.138908,-1.686182,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1969/tmax.parquet
25074,1969,tmin,StandardScaler,365,353,3.288,-2.693023,0.691266,-0.303522,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1969/tmin.parquet
25074,1970,precip,MinMaxScaler,365,365,0.0,0.0,0.307298,0.008697,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1970/precip.parquet
25074,1970,evap,MinMaxScaler,365,0,100.0,,,,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1970/evap.parquet
25074,1970,tmax,StandardScaler,365,365,0.0,-3.810074,-0.546815,-1.790374,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1970/tmax.parquet
25074,1970,tmin,StandardScaler,365,365,0.0,-1.564927,0.530109,-0.248299,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1970/tmin.parquet
25074,1971,precip,MinMaxScaler,365,365,0.0,0.0,0.384891,0.009334,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1971/precip.parquet
25074,1971,evap,MinMaxScaler,365,0,100.0,,,,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1971/evap.parquet
25074,1971,tmax,StandardScaler,365,365,0.0,-4.217981,0.676907,-1.706278,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1971/tmax.parquet
25074,1971,tmin,StandardScaler,365,365,0.0,-1.88724,0.368952,-0.238144,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1971/tmin.parquet
25074,1972,precip,MinMaxScaler,366,366,0.0,0.0,0.391037,0.009646,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1972/precip.parquet
25074,1972,evap,MinMaxScaler,366,0,100.0,,,,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1972/evap.parquet
25074,1972,tmax,StandardScaler,366,366,0.0,-3.60612,0.676907,-1.598347,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1972/tmax.parquet
25074,1972,tmin,StandardScaler,366,366,0.0,-1.40377,0.530109,-0.172639,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1972/tmin.parquet
25074,1973,precip,MinMaxScaler,365,365,0.0,0.0,0.16799,0.008515,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1973/precip.parquet
25074,1973,evap,MinMaxScaler,365,0,100.0,,,,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1973/evap.parquet
25074,1973,tmax,StandardScaler,365,365,0.0,-4.014027,0.065046,-1.744833,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1973/tmax.parquet
25074,1973,tmin,StandardScaler,365,365,0.0,-1.88724,0.852422,-0.378549,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1973/tmin.parquet
25074,1974,precip,MinMaxScaler,365,365,0.0,0.0,0.498079,0.010242,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1974/precip.parquet
25074,1974,evap,MinMaxScaler,365,0,100.0,,,,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1974/evap.parquet
25074,1974,tmax,StandardScaler,365,365,0.0,-4.014027,1.900629,-1.660458,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1974/tmax.parquet
25074,1974,tmin,StandardScaler,365,365,0.0,-1.564927,0.852422,-0.397535,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1974/tmin.parquet
25074,1975,precip,MinMaxScaler,365,365,0.0,0.0,0.307298,0.008161,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1975/precip.parquet
25074,1975,evap,MinMaxScaler,365,0,100.0,,,,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1975/evap.parquet
25074,1975,tmax,StandardScaler,365,365,0.0,-4.217981,1.288768,-1.721588,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1975/tmax.parquet
25074,1975,tmin,StandardScaler,365,365,0.0,-2.048396,0.368952,-0.384731,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1975/tmin.parquet
25074,1976,precip,MinMaxScaler,366,366,0.0,0.0,0.368758,0.011084,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1976/precip.parquet
25074,1976,evap,MinMaxScaler,366,31,91.53,0.0,0.000401,0.000233,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1976/evap.parquet
25074,1976,tmax,StandardScaler,366,366,0.0,-3.810074,-0.546815,-1.818516,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1976/tmax.parquet
25074,1976,tmin,StandardScaler,366,366,0.0,-1.564927,0.368952,-0.287122,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1976/tmin.parquet
25074,1977,precip,MinMaxScaler,365,335,8.219,0.0,0.170551,0.008753,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1977/precip.parquet
25074,1977,evap,MinMaxScaler,365,0,100.0,,,,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1977/evap.parquet
25074,1977,tmax,StandardScaler,365,365,0.0,-4.014027,0.472953,-1.654367,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1977/tmax.parquet
25074,1977,tmin,StandardScaler,365,365,0.0,-1.564927,0.530109,-0.281414,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1977/tmin.parquet
25074,1978,precip,MinMaxScaler,365,365,0.0,0.0,0.257362,0.009809,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1978/precip.parquet
25074,1978,evap,MinMaxScaler,365,62,83.014,0.003609,0.059743,0.041894,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1978/evap.parquet
25074,1978,tmax,StandardScaler,365,365,0.0,-4.217981,0.676907,-1.669957,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1978/tmax.parquet
25074,1978,tmin,StandardScaler,365,365,0.0,-2.048396,0.530109,-0.334397,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1978/tmin.parquet
25074,1979,precip,MinMaxScaler,365,365,0.0,0.0,0.188476,0.004844,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1979/precip.parquet
25074,1979,evap,MinMaxScaler,365,0,100.0,,,,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1979/evap.parquet
25074,1979,tmax,StandardScaler,365,364,0.274,-3.810074,0.676907,-1.496432,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1979/tmax.parquet
25074,1979,tmin,StandardScaler,365,364,0.274,-2.048396,0.691266,-0.404068,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1979/tmin.parquet
25074,1980,precip,MinMaxScaler,366,363,0.82,0.0,0.281434,0.007263,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1980/precip.parquet
25074,1980,evap,MinMaxScaler,366,0,100.0,,,,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1980/evap.parquet
25074,1980,tmax,StandardScaler,366,366,0.0,-4.014027,0.268999,-1.728743,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1980/tmax.parquet
25074,1980,tmin,StandardScaler,366,366,0.0,-1.564927,0.530109,-0.336878,/home/sebastian/Documentos/Tec/Proyecto_Residencias/Residencias_Imputacion_Generativa_Hidrometeorologica-main/data/scaled/organized/estado=sin/estacion=25074/year=1980/tmin.parquet
